stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,neural,olfactory,paraxial.mesoderm,pronephros,somites,spinal.cord
  3-4,23.97,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.74,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.18,0,0,0
 14-21,0,0,0,0,0,0,2.86,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.83,0,0,0,0.63,1.75
 36-46,0,0,0,0,0,0,10.66,1.77,0,0,0,5.49
 48-58,0,0,3.22,0,0,0,6.62,0,0,0,0,4.98
 60-70,0,0,3.42,0.78,0,0,11.27,0,0,1.54,0,6.8
 72-82,0,0,9.75,0,0,0,10.85,0,0,0,0,0
 84-94,0,0,6,0,4.73,0,8.52,0,0,0,0,0
 96-106,0,1.07,0,0,0,4.04,0,0,0,0,0,0
108-118,0,0,0,0,1.02,0,0,0,0,0,0,0
120,0,0,0,0,2.47,0,21.36,0,0,0,0,0
