stage,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,notochord,pronephros,slow.muscle,spinal.cord
  5-6,7.8,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.99,6.92,0,0,0,1.92
 24-34,0,0,0,0,0,1.16,0,1.02,10.1,0,0,4.12
 36-46,0,2.43,0,0,0,0,0,5.11,0,0,9.81,3.26
 48-58,0,0,2.13,0,0,0,0,2.4,0,0,0,3.93
 60-70,0,0,1.32,0,0,0,0,21.25,0,0,0,1.8
 72-82,0,0,0,0.92,0,0,0,3.5,0,0,0,6.11
 96-106,0,0,0,0,0,0,0,9.4,0,0,0,0
108-118,0,1.31,0,0,0,0,0,0,0,0.62,0,0
120,0,0,12.36,0,1.49,0,0,0,0,0,0,0
