stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,54.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,46.66,3.59,0,0,23.1,0,0,0,0,0,0,0,0
 10-12,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,31.69,0,0,0,44.56,0,0,0,0,0,0,0,0
 14-21,0,1.14,3.91,1.07,0,0,0,0,0,0,0,0,0,1.87,0,27.35,1.63,0,0,0,0,0,7.96,0.94,4.77,6.42,0,0
 24-34,0,0,2.86,0,0,5.95,0.8,0,1.85,0,0,0,0.71,2.28,3.23,91.05,0,0.78,1.72,0,0,0,0,0,0.98,16.59,0,2.81
 36-46,0,0,0,0,0,6.42,0,0,1.89,0,0,0,0,5.82,6.15,39.5,0,0,0,0,0,8.28,0,0,0,9.59,0,0
 48-58,0,0,8.94,0,0,14.89,0,0.49,4.26,0,0,0,0,19.78,0.7,37.36,0,0,0,0,0,0.48,0,0,0,6.16,0,0
 60-70,0,0,11.18,0,0,11.3,0,0,4.84,0,1.14,0,0,8.39,5.82,37.43,0,0,1.67,0,0,2.93,0,0,0,3.67,0,0
 72-82,0,0,0,0,0,6.26,0,0,7.51,0,0,0,0,4.49,0.62,25.29,0,0,0,0,0,0,0,0,0,1.91,0,1.32
 84-94,0,0,0.91,0,0,7.44,0,0,2.43,0,0.69,0.56,0,10.21,1.98,18.25,0,0,0,0,1.53,0.57,0,1.93,0,3.74,0,0
 96-106,0,0,0.58,0,0,12.01,0,0,0.7,0,0,0,0,3.54,0,11.36,0,0,2.88,0,0,1.08,0,0,0,1.83,0,2.02
108-118,0,0,0.96,0,0.66,6.56,0,0,6.25,0.57,0,0,0,3.76,0,11.11,0,0,0,0,0,0.64,0,0,0,0,1.17,0
120,0,0,0,0,0,0,0,0,0,0,0,1.05,0,6.62,0,46.21,0,0,0,0,0,0,0,0,0,0,0,0
