stage,eye,fast.muscle,fin.epithelia,glial,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,spinal.cord,vasculature
 10-12,0,0,0,0,8.93,0,0,0,0,4.44,0,0
 24-34,0.66,0,0,0,0,0,0,0,0,0.79,0,1.15
 36-46,0.78,0,0,0,0,0.67,0.58,0,0,2.33,1.86,0
 48-58,5.49,0,0,0,0,0,0.44,0,0,5.49,0.71,0
 60-70,5.78,0,0,0.92,0,0,2.42,0,0,16.39,0,0
 72-82,10.17,0,0,0,0,0,0.75,1.12,0.59,22.9,0,0
 84-94,0,0,0.66,0,0,0,2.22,0,0,6,0,0
 96-106,0,0.64,0,0,0,0.7,0,0,0,5.09,0,0
108-118,0,0,0,0,0,0,1.29,0,0,10.91,0,0
120,0,0,0,0,0,0,0,0,0,23.07,0,0
