stage,epidermis,eye,glial,hatching.gland,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,33.26,0,0,0,18.61,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,24.37,0,0,0,0,0,0,0,0
 14-21,0.85,0,1.22,0,0,0,0,0,12.07,0,0,0,0,0,0.82,0.92,0
 24-34,0,0,0,0,0,3.12,0,0.81,15.92,0.84,0,0,0,0,0,9.88,0
 36-46,0,1.18,0.83,0,0,1.77,0,1.1,20.37,0,0,0,0,2.26,0,13.26,2.39
 48-58,0,4.11,0.91,5.26,0,11.25,0,2.19,18.44,0,0,0,0,0,0,13.44,0
 60-70,0,3.69,1.72,0,0,7.68,0,1.54,16.66,0,0,0,0,0,0,11.97,0
 72-82,0.84,3.1,0.82,0,0,9.9,0.51,0,47.48,0,0.67,0,0,0,0,6.29,0
 84-94,0,9.01,0.93,0,0,1.98,0,0.92,18.03,0,0,0,0,0,0,6.71,0
 96-106,0,12.49,0,0,0,4.39,0,1.29,35.13,0,0,0,0,0,0,11.11,0
108-118,0.43,3.95,2.33,0,0,0,0,0,26.83,0,0,0.92,0,0,0,5.39,0
120,0,26.42,4.87,0,2.23,1.31,0,0,69.31,0,0,1.5,0,0,0,1.53,0
