stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,141.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.86,125.05,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.52,0,3.28,0,0,10.41,0,0,0,0,0,0,35.77,0,0,0,13.24,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.86,0,0,5.69,0,0,0,0,0,0,48.6,3.39,0,0,8.64,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.8,0.92,0,0,0,0,0,0,0,35.38,0,0,0,0.99,0,0.96,0,0,1.87,5.69,0,0,0
 24-34,0,0,0.7,1.43,0,3.64,1.34,0,0,0,5.08,3.79,48.75,0.59,0,0,0,0,0,0,0,0,9.58,0,0,0
 36-46,0,0,0,1.68,0,5.94,0.73,0,1.26,0,6.55,0.59,38.83,1.14,0.59,0,0,0,0,0,0,0,3.02,0,5.14,0
 48-58,0,0,0,0.44,0,10.43,4.12,0,0,0,1.57,0,13.64,0,0.62,0,0,0.48,0,0,0,0,9.83,0,0,0
 60-70,0,0,0,0.6,0,6.75,7.33,0,0,0,7.82,0,7.99,0,0,0,0,0,0,0,0,0,2.18,0,0,0
 72-82,0,0,0.75,0.8,0,3.73,0.63,0,0,0,4.97,0,9.1,0,0,0,0,0.54,0,0,0,0,0,0,0.87,0.67
 84-94,0,0,0,0,0.69,0.96,0,0,0,1.57,6.37,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,1.02
 96-106,0,0,0,0,0,5.51,1.03,0.89,0,0,2.24,0,0.57,0,3.13,0,0,1.38,0,0,0,0,3.37,0,1.48,0
108-118,0,0,0,2.99,0,0,4.94,0,0,0,3.11,0,8.96,0,1.1,0.42,0,0,0,0.72,0,0,0,0,0,0
120,0,0,0,0,0,5.72,0,0,0,0,16.57,0,6.33,0,0,0,0,0,0,0,1.21,0,0,2.68,0,0
