stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,25.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,3.37,3.34,0,0,4.02,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,30.38,0,0,0,9.8,0,0,0,0,0,0,0,0,0
 14-21,0,1.32,0.86,1.93,0,0,0,0,0,0,0,0,0,0,0.96,0,0,19.51,0,0,0,0,0.89,1.22,1.11,1.92,3.21,0,0,0,0
 24-34,0,0,0,1.71,0,5.54,0,1.63,0,0,0,0,0,0,3.96,0,2.06,89.13,1.37,0,0,0,0,0,0,1.41,23.18,0,0.84,0,0
 36-46,0,0,0,0.9,0,13.27,0,4.98,0,0,0,0.74,1.55,0,10.14,0,1.11,118.09,0,3.23,0,0,1.46,0,0,0,32.06,0,3.03,0,0
 48-58,0,0,0,7.95,0,28.17,0.66,14.2,0,0,0,0,0,0.4,12.92,1.71,2.38,95.36,0,1.67,0.93,0,2.06,0,0,0,22.66,0.44,3.13,0,0
 60-70,0,0.86,0,2.08,0,43.18,0,12.26,0,0,0,0,0,0,12.96,7.7,3.27,51.11,0,0,6.34,0,0.57,0,0,0,10.52,1.91,0.83,2.26,0.72
 72-82,0,1.14,0,0,0,47.24,3.21,7.71,0,0,0,0,0,0,10.49,14.93,0,74.68,0,0,0,0,0.8,0,0,0,4.18,8.95,2.28,18.72,2
 84-94,0,0,0,3.33,0,7.99,0,9.52,0,1.7,0.58,0,0,0.71,9.54,14.24,0,28.91,0,0,0,0,0.55,0,0,0,2.26,8.74,1.86,16.87,0
 96-106,0,0.95,0,1.29,0.68,34.48,1.34,0,0.83,0,0.81,0,0,0,7.71,24.59,0.67,43.67,0,0.66,0,0,2.07,0,0,0,6.67,0,2.1,9.58,0
108-118,0,0,0,0,0,10.39,0,6.41,1.69,0,0,1.84,0,2.1,14.46,19.49,0,32.02,0,1.26,0,0,0.57,0,0,0,0,0,0,5.69,0
120,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0,6.87,30.97,3.4,21.19,0,8.55,0,0,0,0,0,0,0,0,10.47,0,0
