stage,axial,epidermis,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pronephros,spinal_cord,vasculature
  5-6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.4,0,5.54,0,0,0
 10-12,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,19.48,0,0,0.96,0,0,0,0,0,0,0,28.67
 24-34,0,0,10.53,0.6,0,0,0,0,2.39,0,0,0,1.28,77.6
 36-46,0,0,0,0,0,0,0,0,2.8,0,0,0,0,19.12
 48-58,0,0,0,0.49,0,0,2.75,0,1.8,0,0,0.91,0,2.64
 60-70,0,0,0,0,0,0,6.11,0,3.78,1.03,0,5.23,0,3.29
 72-82,0,0,0,1.79,0,0,1.99,0,6.49,0,0,18.94,0,6.18
 84-94,0,2.38,0,0,0,0,13.91,0,0,0,0,57.36,0,2.69
 96-106,0,0,0,0,2.22,0,17.06,0,13.67,0,0,119.35,0,8.24
108-118,0,0,0,5.04,0,0,19.98,0.65,9.13,0,0,69.36,3.24,4.35
120,0,0,0,0,0,0,20.12,0,5.35,0,0,78.14,0,6.46
