stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.75,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.06,0,0,0,0,0,0,0
 10-12,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,38.16,0,16.28,0,0,0,0,0
 14-21,0,0,0,0,0,2.02,0,0,0.91,0,0,0,0,0,0,0,9.8,0,0,0,2.22,1.02,4.23,0
 24-34,0,0,0,0,0,0,1.88,0,0,0,0,0,0,1.61,0,0,6.5,0,0,0.64,0,0,5.32,2.01
 36-46,0,0,0,0,0,0,3.51,0,0.91,0,0,0,0,0,0,2.18,5.46,0,0,0.58,0,0,0,0
 48-58,0,0,0,0,3.79,0,0,0,2.88,0,0,0,0,1.22,1.32,0,2.16,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.93,0,0,0,0,0,0.92,0,0,1.31,0.73,0,0,0.51,0,0,0,0
 84-94,0,0,0,0,0.63,0,1.11,0,0,0,1.4,0,0,0,0,0,2.4,0,0,1.58,0,0,0,0
 96-106,0,0,0,0,0.71,0,0,1.11,4.32,1.18,0,0,0,1.13,0,0,6.86,0,0,1.89,0,0,0,0
108-118,0,0,0,0,0,0,0.96,0,0,0,0,0.66,0,4.5,0,0.55,1.97,0,0,0,0,0,0,1.09
120,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,15.85,0,0,0,0,0,0
