stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,284.4,5320.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.51,0,0,0,0,0,0,0,0
  5-6,131.26,809.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.27,0,0,0,0,0,165.86,0,0,0,0,0,0,0,0
  7-9,8.97,0,0,3.8,0,0,0,6.49,0,0,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,93.17,0,0,0,3.27,0,69.2,32.98,0,0,0,0,0,0,0
 10-12,0,4.57,0,0,0,0,0,5.22,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,125.19,0,0,0,30.42,0,50.6,23.84,4.94,0,0,0,0,0,0
 14-21,0,0,0,7.18,40.65,0,0,0,0,0,0,0,2.37,4.53,0,0,24.58,0,0,1.15,0,0,2.19,0,0,23.78,6.63,0,0,0.84,0,230.4,0,4.53,0.84,0,0,0,0,0
 24-34,0,0,0,1.38,16.74,0,0,6.92,0,3.82,0,0,1.3,1.82,0,0.6,57.77,0,2.84,0,0,3.65,13.45,0,0.76,72.54,0,16.16,4.17,0,0,534.66,0,8.54,0,6.76,0,3.37,0,0
 36-46,0,0,0,0,9.87,0,0,4.67,0,6.75,0,3.9,0.56,0,0,0,19.12,0,1,0,0,7.95,7.81,0,0.82,92.5,0,5.2,0.8,0,0,507.22,0,0.88,0,14.83,0,0.58,0,2.01
 48-58,0,0,0,0,7.6,0,0,8.75,0,10.12,0,1.35,0.87,0.75,0.85,1.05,8.42,5.19,4.24,3.88,0,3.9,18.88,0.56,0.77,62.42,0.99,11.1,2.4,0,0,344.59,0,1.39,0,11.86,0,0,0,4.64
 60-70,0,0,0,0,23.6,0,0,21.11,0,5.88,0,0.67,4.47,0,3,0,13.75,0,8.86,0,0,3.01,9.49,0.93,0,33.36,0,5.82,5.85,0,0,269.72,0,0.58,0,22.32,1.44,0,0,0
 72-82,0,0,1.73,0.56,30.58,4.28,0,13.11,0,5.26,0,6.94,11.93,0.59,0,1.26,16.82,0,7.08,9.68,0,8.68,12.4,0,0,48.59,0,8.4,12.78,0,0,232.74,0,0,0,8.32,3.18,1.79,1.31,0
 84-94,0,0,11.48,0.57,72.67,10.86,0.59,9.19,0,20.5,0,5.66,35.25,0.66,0,0,21.13,0,4.11,3.55,0,11.1,11.93,0,0.88,31.13,0,4.45,6.47,0,0,594.15,0,5.1,0,2.57,4.82,1.47,0,0
 96-106,0,0,3.67,3.47,103.06,8.77,2.95,4.27,0,18.04,0,5.14,33.98,0,2.33,8.5,25.2,0,17.67,1.45,0,17.48,11.09,0,0,44.16,2.6,19.45,12.15,0,2.88,579.34,0,1.92,0,8.93,5.18,0.88,1.67,0
108-118,0,0,3.69,4.16,106.44,2.35,2.04,16.15,0.76,24.79,1.62,6.54,32.08,0,0,2.78,27.03,0,14.9,2.44,0.89,12.57,27.02,0,0,40.96,0,5.12,12.66,0,0,480.53,0,0,0,0,12.7,0,0,0.6
120,0,0,1.37,0,81.35,0,1.06,3.72,0,13.93,0,6.58,34.69,0,0,7.81,15.73,0,10.07,5.02,0,6.73,6.38,0,0,16.66,0,0,2.52,0,0,259.16,2.5,5.09,0,0,10.48,0,0,0
