stage,eye,glial,heart,mesenchyme,mural.cell,neural,otic,spinal.cord
 14-21,0,0,0,0,0,0,0,1.16
 24-34,0,0,0,0,0,0.96,0,0
 36-46,0,0,0.9,0.65,0,3.22,0,0
 48-58,0,0,0,0,0,0,0.39,0
 60-70,2.8,0,0,0,0,0.74,0,0
 72-82,2.12,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.72,0,0,0
108-118,0,1.1,0,1.32,0,0,0,0
