stage,endocrine_pancreas,epidermis,erythrocytes,glial,gut,liver,neural,periderm,pronephros
 24-34,0,0.59,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.16,0,0
 72-82,0,0,0,0,0,0,2.32,0,0
 84-94,4.57,0,0,0,0,0,0,2.42,0
 96-106,0.89,0,1.8,0.64,1.42,0,10.48,0,1.19
108-118,0,0,0,0,8.02,2.05,16.16,0,0.51
120,0,0,0,0,1.24,0,22.53,0,9.58
