stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,6.85,14.45,0,0,0.6,7.38,0.92,0,0,0,0
 36-46,0,0,0,0,22.04,0,0,0.8,0,0,0,0,0,0,0,0.61,0,5.18,9.83,0,0,0,26.24,0.84,0,1.02,0,3.23
 48-58,0,0,0,13.4,14.9,0,0,0.78,0,0,0,0,0,0,0,6.23,0,3.54,14.22,5.47,0,0,24.34,0.55,0,0,0,0
 60-70,0,0,0,20.27,20.28,0,0,4.64,0,0,0,0,0,0,0,0,0,6.11,37.11,0,0,0,31.61,8.92,0,0,0,0
 72-82,0.68,3.73,0,39.68,21.3,0,0,5.86,0,0,0,2.9,0,0,0,8.86,0,9.27,38.48,0,0,0,15.9,3.08,1.19,2.6,0,6.09
 84-94,6.17,2.61,0,33.41,18.87,0,0,0.9,3.96,1.52,0,7.75,0,2.33,0,13.29,0,9.78,26.04,0,5.12,0,23.08,4.15,0,0,0,5.51
 96-106,5.02,23.46,6.96,59.52,56.87,1.79,0,14.74,0,0,0,0,0,3.01,0,16.58,0,7.67,86.88,1.03,6.1,0,16.08,10.06,0,3.17,3.39,0
108-118,4.13,10.68,0.43,49.49,64.02,0,0,4.27,0,0,0,0,0.74,2.63,1.1,4.64,0,12.7,43.44,0,1.22,0,24.72,1.12,0,0,0,0
120,5.01,0,0,3.54,43.64,0,3.8,11.38,0,0,0,0,0,0,0,0,4.76,38.12,50.64,0,0,0,14.23,0,0,0,0,0
