stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,11.62,109.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0,0,0,0,0,0,0
  5-6,41.13,260.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.01,3.78,19.7,0,0,12.41,0,0,0,22.68,0,0,0,0,0,0,0,0,0,161.41,0,0,0,60.03,0,0,0,0,0,0,0,0
 10-12,0,4.57,9.69,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,84.87,0,0,0,46.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.81,0,0.91,0,0,0,0,0,0,0,0,4.19,0,0,0,0,9,0,0,0,0,5.2,1.83,0,3.74,1.9,0,0,0
 24-34,0,0,0.68,3.98,0,1.72,0,0,0,0,0,0.64,0,1.31,0,0,2.69,0,0,19.03,0,1.71,1.8,0,4.23,0,0,1.4,3.42,0,3.38,0
 36-46,0,0,0,28.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,1.12,1.41,0,4.2,0,0,0,2.75,0,0,0
 48-58,0,0,0,9.28,0,0.8,0,0,0.38,0,0,0,0,1.05,0,0,1.78,0,0,2.21,0,0,0.6,0,12.89,0,0,0,0,0,0,0
 60-70,0,0,0,1.98,0,0,0.94,0,4.03,0,0,0,0,2.21,0,3.59,0,0,0,7.34,0,0,0,0,8.14,0,1.54,0,0,0,0,0
 72-82,0,0,0,2.56,0,5.51,0,0.88,0,0,0.55,2.58,0,3.43,0,0,0,0,0,3.31,0,0,0,0,5.91,0,0,0,3.01,0,0,0.5
 84-94,0,0,0,7.99,1.66,2.64,0,2.06,0,0,0,0,0.57,0,0,0,0,0,3.85,1.19,0,0,1.32,0,6.93,0,0,0,0,0,0.86,0
 96-106,0,0,0,0.83,7.15,4.57,1.51,0,0.61,0,0.78,2.89,0,2.42,10.33,0,0,2.07,0,2.01,0,0,8.32,0,12.69,0,0,0,0,0,0,0
108-118,0,0,0,4.28,0,0.7,0.96,0,0,0,0,0.47,0,1.77,0,0,2.34,0,0,5.59,0,0,1.58,0,8.52,0,0,0,0,0.43,0,0
120,0,0,0,5.12,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,11.16,2.35,0,2.94,0,9.13,0,1.02,0,0,0,0,0
