stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,5.4,0,0,0,0,0.88,0,0,0,0,0,0,2.72,13.93,0,0.91,0,1.03,3.16,5.92,0,0
 24-34,0.96,1.78,0,0,0,0,0,0,0,2.89,0,0,0,16.27,0,0,0,0,0,6.47,0,0
 36-46,0,0.76,0,0,0,0,0,0,0,0,0,0.89,0,8.51,0,0,7.37,0,0,4.55,0,0
 48-58,0.38,1.52,0,0,0.4,1.7,0,0,0,1.67,0,0,0.64,18.77,0,0,0.41,0,0,5.79,0,0
 60-70,0,1.85,0,2.17,0,3.77,0,0,0,5.46,0,0,0.95,7.36,0,0,10.09,0,0,4.08,8.61,0
 72-82,0,7.44,1.07,0.81,0,1.28,0,0,0,13.88,0,1.15,0,12.66,0,0,0,0,0,3.26,0,0
 84-94,0,1.68,0,0,0.67,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0.82
 96-106,1.69,0,0,0,7.73,8.66,0.58,0,0,4.21,1.74,0.94,0.96,3.43,2.37,0,0.59,0,0,0,3.7,1.42
108-118,0,2.52,0,0,0,1.97,0,0.74,0.6,2.8,0,0,0,9.86,0,0,0,0,0,0,0,0
120,11.03,0,0,0,0,0,0,0,0,7.42,0,0,0,0,0,0,1.3,0,0,0,0,0
