stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,lateral.line,mesenchyme,muscle,neural,periderm,somites,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,0,20.13,0,0
  5-6,6.84,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.99,0,0.82,1.03
 24-34,0,0,0,0,0,0,0,0.84,0,4.31,0,0,1.33
 36-46,0,0,0,0,0,0,0,0,0.69,6.23,0,0,0
 48-58,0,0,0,0.38,0,0,0,0,0,9.77,0,0,0.7
 60-70,0,0.59,0,0,0,0,0,0,0,2.61,0,0,1.99
 72-82,0,0,0,0,0,0,0,0,0,6.67,0,0,0
 84-94,0,0,0,0,0,0.74,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.1,0,0,0,0,12.02,0,0,0
108-118,0,0,0,7.31,0,0,0,0,0,0.96,2.51,0,0
120,0,1.28,1.26,0,0,0,2.85,0,0,3.22,0,0,0
