stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,16.98,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,2.04,0,0.83,0,0,0,0,0,1.71,0,0
 24-34,0,0,0,7.97,0,0,0.79,0,0,0,2.16,0.67,0,0.67,0,0.72,0,0,0,0,10.09,0,0,0,25.97,1.88,0.75,2.56,0,0,97.9,0,0,0,0,5.49,0,0,6.62,0,1.1
 36-46,0,0,0,3.44,2.98,0,11.51,0,0,0.65,0.8,0,0,0,0,0,0,0,0,0,11.92,0,0,2.37,30.78,1.73,2.6,6.46,0,0,240.11,0,0,0.58,0,5.69,0,0,3.08,0,0.61
 48-58,0,0,0,2.48,0,0,10.67,0,5.85,0,2.5,0,0.37,0.59,0,4.96,0,2.81,0.63,3.09,29.59,4.11,4.92,0.45,42.89,1.73,1,7.2,0,0,240.05,0,0,0,0,6.03,0,0,3.49,0,2.59
 60-70,0.81,0,0,19.06,0,0,14.8,1.33,13.35,4.73,8.33,0,0,0,0,9.04,4.72,3.63,2.37,0.88,122.37,0.73,0,2.58,24.38,6.26,0,7.74,0,0.71,274.28,0,0,2.6,0,2.84,1.44,0.57,2.59,0.8,13.08
 72-82,0,0,0,18.45,1.23,0,20.22,0,6.85,2.8,39.46,2.26,0,0,0.98,6.54,2.22,7.91,5.48,5.52,229.76,3.78,4.67,6.22,84.19,0,3.24,16.38,0,1.75,549.91,0,0,0.64,3.45,11.87,3.73,6.07,7.4,0,3.23
 84-94,0,0,0,69.76,0,0,43.33,0,28.35,3.63,35.61,8.42,0,4.19,1.31,22.52,6.42,8.52,4.1,0.98,288.17,9.43,1.55,13.21,50.97,2.4,0.68,34.35,0,5.8,1944.94,0,0,0.74,0,9.42,2.86,2.56,13.66,0,2.33
 96-106,0,0,1.15,84.13,13.04,0,54.17,2.03,40.88,0,59.21,18.7,0,1.73,4.91,21.28,3.26,20.85,42.88,2.94,272.41,19.46,1.43,13.07,117.66,2.22,7.5,32.11,0,12,1551.36,3.39,0,1.9,1.13,24.1,16.51,6.29,22.11,8.8,7.63
108-118,0,0,0,91.97,0,3.4,27.42,0,67.45,6.23,102.55,27.52,0,0,1.43,30.54,3.52,10.1,38.32,5.79,432.04,26.43,8.69,12.91,111.61,8.4,7.87,43.3,0,3.28,1562.14,0,0,4.88,2.76,14.16,6.34,6.16,16.53,2.99,20.6
120,0,0,0,70.5,21.13,1.89,53.45,15.17,43.7,14.69,61.71,22.7,0,0,3.3,22.71,11.36,25.64,40.57,0,265.11,19.89,18.76,12.26,185.25,12.25,2.3,50.59,0,11,821.1,0,0,3.82,2.35,0,3.78,2.71,19.86,13.95,3.28
