stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,100.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.85,210.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.17,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,26.05,0,0,6.76,0,0,0,0,0,0
 10-12,0,11.36,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,38.1,0,0,11.39,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,782.94,1.23,0,0,0,0,0,48.78,0,0
 24-34,0,0,0.6,0,4.27,0,0,19.23,0,0,0.69,0,0,0.98,0,0,1.39,0,8.61,3016.94,0,0,0,0,3.98,0,1584.59,0,13.01
 36-46,0,0,0,0,1.03,0,0,19.7,0,0,0,0,0,0,0,1.21,3.29,0,0,814.41,0,5.59,0,0,1.71,0.7,492.1,0,0
 48-58,0,0,0,0,0,0,0,330.56,0,0,0,3.35,0,0,0,0,3.08,0,4.13,1777.37,0,0,0,0,0,0,236.97,0,0
 60-70,0,0,0,0,0,0,0,31.85,0,0,0,5.49,0,0,1.26,0,13.93,0,0,2896.57,0,0,0,0,4.5,0,1.39,0,0
 72-82,0,0,0,0,0,0.51,0,17.32,0,0,0.75,13.49,0,0,0,0,2.83,0,0,2396.9,0,0,0,2.19,0,0,135.54,0,1.7
 84-94,0,0,0,0,5.1,0,0,143.05,0,0,0,0,0,0,0,0,4.89,0,0,779.64,0.58,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,7.33,0,26.9,0.71,0.58,0,7.16,1.16,0,0,0,7,0,0,1404.73,0,1.01,0,0,9.63,0,0.86,2.83,1.49
108-118,0,0,0,0,1.56,0,2.27,11.02,0,0,0,1.72,2.68,0,0,0,13.22,1.52,0,3046.68,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.85,0,0,0,0,5.27,1.81,0,0,0,0,13.31,0,0,2659.17,0,0,0,0,0,0,0,0,0
