stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
 14-21,3.21,0,0,3.31,0,0,0,0,0,0,0,0,0,13.42,0,1.37,0,2.04,0,3.28,0,1.43,24.94,0,0,0
 24-34,3.92,0,2.96,0.67,0,0,0,0,0,0,0,0,0,59.99,0,1.93,0,0,1.33,0,3.2,0,13.62,0,0,0
 36-46,0,1.04,4.18,0,0,0,0.98,0,0,0,0,0,0.63,146.79,3.83,0,0,0,1.06,0,0,0,12.23,0,0,0
 48-58,5.46,0,8.11,3.32,0,0,0,0,0,1.32,0,0.82,0,240.3,1.03,0.78,0,0,9.94,0,0,0,7.01,0,0,0.83
 60-70,0,0,40.51,1.86,0,0,0,0,0,2.74,0,0,0,275.19,8.64,0.68,0,0,0,0,0,0,51.84,0,0,0
 72-82,1.11,6.55,91.54,2.58,0.86,4.27,0,0,0,4.39,0,6.4,0,309.39,0,1.5,1.83,0,0,0,0.7,0,13.2,3.13,0,0
 84-94,0.8,10.84,97.36,2.28,0,0,0,0.87,0,1.72,0,0,0,199.39,0.6,0,0,0,0.88,0,4.35,0,25.36,0.88,4.42,0
 96-106,0,0,85.94,3.69,0,0,0,0,2.34,0.89,0,3.55,0,206.62,0,0,0,0,2.33,0,0,0,0.83,0.88,2.44,0
108-118,1.5,0,89.51,3.83,0,0.63,0,0,0,5.48,0,0,0.67,169.63,0,0,0,0,1.11,0,0.96,0,2.28,0,1.05,0
120,0,0,80.15,0,0,0,0,0,0,0,1.49,2.4,0,263.87,0,0,0,0,1.05,0,0,0,0,0,0,8.94
