stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,liver,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,0,860.01,0,0,0,0,0,0,0,0,48.75,0,0,0
  5-6,64.12,953.99,0,0,0,25.08,0,51.71,0,53.27,30.14,0,0,0
  7-9,4.26,96.85,89.29,0,93.57,64.19,0,2869.45,20.07,579.03,0,0,0,0
 10-12,0,189.23,163.83,11.05,189.98,7.01,9.05,4814.91,63.96,547.65,3.1,145.54,10.09,5.32
