stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.56,68.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,138.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.38,8.24,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.69,0,8.31,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.2,9.28,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.7,21.96,1.74,0,8.52,0,0.87,0,0.91,0,0.86,0.89,0,0,0,0,0,0,2.67,0,0,1.84,43.61,0,0,0,0,0,14.69,6,0,0,6.77,25.77,0,1.8,0,0
 24-34,0,0,0,0,6.83,0,0,11.39,0,0.86,0.78,3.68,1.85,0,1.13,0,3.1,0,0.86,0,0,6,0,0,7.28,201.31,0,3.52,1.96,0,0,26.8,0,0,0,0.67,59.33,0,1.78,0,0.93
 36-46,0,0,0,0,3.23,0,0,33.87,0,12.25,0,5.52,0,0,0,0,0.66,0,0.61,0,1.88,13.68,0,0,2.61,185.73,0,2.4,0,0,0,16.61,0,20.15,0,0,54.78,0,0,0,12.78
 48-58,0,0,0,0,3.19,0,0,119.73,0.59,1.23,1.06,8.03,0.58,0,0,0,0,0.85,0.56,0,0,13.01,0,0,3.11,236.01,0,1.92,6.13,0,0,8.91,0,0.52,0,0,38.49,0,0.53,0,7.11
 60-70,0,0,0,0,5.26,0,0,284.88,0,0,3.12,16.33,0,0,0,1.75,0,0,1.03,0,0,16.71,0,0,1.92,169.18,0,2.99,0,0,1.22,26.12,0,0.68,0,0,40.96,0,1.31,0,2.48
 72-82,0,0,0.61,0,5.47,0.59,0,308.37,0.5,0.8,0,17.19,3.23,0,0,0.64,2.85,0,0,0.98,0,35.42,0.5,3.89,2.68,212.8,0,2.3,1.38,0,0,11.67,0,0,0,0,14.67,0.8,3.6,0,0
 84-94,0,0,2.35,0,4.95,0.78,0,168.58,0,2.59,0,14.66,1.38,0,0,2.03,1.22,0,0,0.56,0,15.85,0,0,8.35,147.04,0.58,0,7.7,0,0,45.71,0,0,0,0,8.74,0.66,3.67,2.86,0.66
 96-106,0,0,1.05,0,17.55,4.74,0.62,276.79,0,0,0,11.42,2.26,0,3,2.14,1.89,0.75,2.11,0,0,15.15,0.71,2.28,3.79,113.68,2.12,2.09,2.67,0,2.84,41.61,0,0.57,0,0,19.18,3.63,4.04,2.01,0
108-118,0,0,0,0,21.42,1.44,1.91,201.55,0,1.25,0.58,16.95,4.04,0,0,3.14,1.84,4.51,0.6,0,0,13.98,1,0,0,128.18,1.24,8.29,0,0,0,30.98,0,0.61,0.63,0,11.03,3,4.91,0,1.98
120,0,0,0,0,7.54,0,0,122.39,0,0,0,14.44,6.46,0,0,1.42,0,0,0,0,0,25.1,0,0,3.76,184.86,0,0,0,0,2.54,14.92,0,0,0,0,4.52,1.99,0,1.8,0
