stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,89.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.77,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,49.48,0,0,0,15.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.61,0,0,0,6.53,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.1,0,1.92,0,0,1.2,0,0,0,0,0,1.16,0,1.81,10.3,1.18,0,0.81,0,0,0,2.56,0,1.88,6.41,0,0
 24-34,0,0.97,0,1.39,0,0.63,0,0,0,0,0,0,0,0,1.52,0,0.75,6.49,0,0,0,0,0,0,0,0,0,5.5,0,0
 36-46,0,0,0,0,0,0,0,0,2.67,0,0,0,0,3.69,2.86,0.74,0.58,24.4,0,0,0,0,0,0,0,0,0,13.32,0,0.6
 48-58,0,0,0,1.55,0,4.92,0,0,0,0,0,0,0,0,0.46,0,1.43,25.18,0.4,3.99,0,0,0,0.51,0,0,0,2.03,0,0
 60-70,0,0,0,3.99,0,4.96,1.28,0,6.57,0.63,0,0,0,0,11.25,0,0.94,8.6,0,0,0,0,0,0,0,0.64,0,6.59,0,0
 72-82,0,0,0,1.27,0,6.85,0.92,0,8.05,0,0,0,0.56,0,1.1,0,0.69,14.51,0,0,0.76,0,0,3.74,0,0,0,1.81,0,0
 84-94,0,0,0,0,4.3,12.24,4.32,0,2.22,0,0,0,0,0,2.44,0,0,3.91,0,0,0,0,0,0,0,0,0,7.61,0,0
 96-106,0,0,0,0,0,2.94,1.5,0,2.78,0,0,0,1.44,0,0.79,0,0,8.44,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.47,0,15.2,1.33,1.36,3.19,0,0,0.59,0,1.03,5.88,2.52,5.69,20.54,0,0,0,0,1.49,1.57,0,0.49,0,0.7,1.39,0
120,0,0,0,0,0,13.44,1.06,0,0,0,0,0,0,0,0,0,0,33.73,0,0,1.47,0,0,0,0,0,0,0,0,0
