stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.39,119.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,453.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94,0,0,0,0,0,0,0,0,0
  7-9,3.5,131.56,0,0,0,0,59.71,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0,0,0,2533.93,4.16,0,0,32.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,323.95,0,12.77,0,0,233.44,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,14838.31,22.09,0,0,435.61,0,0,19.21,0,0,34.9,0,0,0,0
 14-21,0,0,0,0,12.52,2.14,7.54,0,0,0,288.5,3.32,1.02,0,0,0,0,0,0,0,0,0,4.73,5942.67,0,0,0,6.36,1.06,6.17,0,0,13.28,1620.41,0,0,0,0
 24-34,0,0,0,0.82,8.88,2.17,36.48,0,1.81,0,143.33,0,3.45,0.92,0,0,1.14,0,4.6,0,16.37,0,10.22,9922.24,3.7,12.51,1.82,0,5.15,0,0,0,6.81,1695.97,0,13.08,0,1.66
 36-46,0,0,0,0,1.14,0,41.69,0,0,30.57,126.31,0,0,0.56,0,0,0,0,6.07,6.22,4.55,0,4.45,6981.68,3.73,0,0,0,6.91,0,0,0,0,1956.93,0,0,0,0
 48-58,0,1.29,0,0,4.45,1.32,84.39,0.7,0,0,138.37,0,0,0,0,0.4,4.96,0,0,0,9.84,0,4.82,3130.59,6.62,2.13,0,0,1.59,0,0,0,0,1343.4,0,0.48,0,7.38
 60-70,0,0,0,0,1.36,1.86,57.2,0,1.09,0,79.41,0,0,0,0,0,0,0,0,8.54,3.13,0,0,1116.53,0,0,0,0,2.25,0,0,0,0,348.37,0,0,0,0
 72-82,0,0,0,0,9.39,0,82.51,0,0,0,175.34,0,0,0,2.38,0,0,0,0,8.68,0,4.69,0,943.34,0,2.62,0,0,3.58,0,0,0,0,114.46,0,0,0,0
 84-94,0,0,0.81,2.02,1.7,0,78.55,0,0,0,105.24,0,0,0,0,0,0,0.9,0.83,0,15.66,1.06,0,555.71,0,0,0,0,0,0,1.4,0.68,0,112.48,0,0,0,0
 96-106,0,0,0,0,0,1.86,84.49,0,0.69,0,61.49,0.78,0,0,0.66,0,0,0,0,0,4.31,0,0,345.03,0,0,0,0,0.84,0,0,0,0,47.03,0,0.61,0,0
108-118,0,0,0,0,19.49,0.6,20.69,0.65,0,0.53,145.4,0,0,0,0,0,0,0,1.92,0,4.36,2.87,0,433.93,0,0,0.73,0,2.45,0,0,0,0,38.07,2.51,3.83,0.5,0
120,0,0,0,0,2.93,8.44,33.89,0,6.38,0,118.2,0,0,0,0,0,0,0,9.76,0,0,0,0,538.39,0,0,0,0,0,0,0,0,0,49.83,0,0,0,0
