stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,30.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,5.73,0,0,0,0
 14-21,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0.98,0,1.37,3.39,0,0,0,0,495.95,15.55,0,0,0,0
 24-34,0,0,0,0,0,0.6,0.69,0.86,0,1.51,0.82,0,0,0,2.64,0,14.58,43.43,0,0,0,0,467.01,2.49,5.36,0,1.32,0
 36-46,0,0,0,0,0,3.25,0.96,0,0,3.28,3.12,0,0,0,0.63,0,2.28,54.74,0,1.22,0,1.49,382.42,0,11.82,0,1.05,0
 48-58,0,0,0,1.2,0,20.24,2.94,0.37,0,3.44,6,0,0,0,5.79,0,11.2,55.28,0,0,0,4.53,274.72,0,4.93,0,3.01,0
 60-70,0,0,1.1,0,0,10.3,13.98,6.08,0,10.27,2.79,0,0,0,4.61,8.1,5.82,28.14,0,3.28,2.43,0,120.9,0,3.15,0,2.57,0
 72-82,0,0,0,0,0,7.22,30.44,0,0,23.1,0.81,0,2.71,0,5.05,0,6.74,22.04,0,0,2.25,0,85.4,0,5.11,0,1.63,0
 84-94,0,0,0,1.06,0,12.86,52.7,0,1.17,9.32,1.9,0,0,8.27,7.88,1.37,2.79,41.8,0,0,0,1.37,172.76,0,5.78,0,0,0
 96-106,0,0,0,1.09,4.39,37.85,39.9,2.21,0,34.65,4.46,0.63,1.9,0,23.89,0,14.79,34.87,1.87,0,0,1.19,174,0,1.34,0.76,0,0
108-118,0,0,0,3.42,0.42,20.51,38.09,0,0,14.15,6.72,0.85,0,0,3.35,0,13.14,15.69,0,0,0,3.09,146,0,2.15,0,0,0
120,0,0,0,3.6,0,29.49,28.4,0,0,41.85,1.15,0,0,0,0,0,13.9,52.7,0,0,0,6.51,64.51,0,0,0,0,5.18
