stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,53.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,0,3.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,9.63,0,0,4.48,0,0,0,0,0,0,0
 14-21,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,1.71,0,4.77,0.9,2.15,0,0,0,0
 24-34,0,0,1.29,0,1.38,1.99,0,0,0,0,0,2.66,0,0,2.24,34.95,0,0,0.72,0,0,0,0.62,5.4,0,0,0,0
 36-46,0,0,0,0,5.66,1.47,0,0,0.57,0,0,2.62,0,0,0,35.31,0,0,0,0,0,0,0,8.12,0,0,0,0
 48-58,0,0,0,0,8.24,2.21,0,0,0,0,0,1.71,0,0,0.41,33.91,0,0,0,0,0,0,0,3.73,0,2.44,0,0
 60-70,0,0,0.56,0,16.99,6.01,0,0,0,0,0,2.38,0,0,0.97,13.27,0.65,0,6.84,0,0,0,0,4.15,0,0,0,0
 72-82,0,0,0.97,0,1.47,7.01,0,0,0,0,0,3.78,0,0,0,29.54,0,0,1.01,0,0,0,0,4.68,0,1.71,0,0.99
 84-94,0,1,0,4.56,18.88,4.09,0,1.23,0,0,0.66,7.01,1.27,0,0,7.46,0,0,1.44,0,0.74,0,0,4.56,0,0,0,0
 96-106,0,0,3.64,4.49,11.23,8.79,0,0,0,1.65,0,6.64,0,0.59,0,15.93,0,0,0,0,0,0,0,8.22,0.9,0.73,0,0
108-118,0,0,0,0,17.69,0,0,0,0,0,0,1.82,0,1.47,1.17,13.97,0.84,0,0,0,0,0,0,3.93,0,0,0,0
120,0,0,0,0,0,4.74,2.11,0,0,3.3,0,8.65,0,0,0,12.48,0,0,0,0,0,0,0,0,0,0,9,0
