stage,eye,glial,immune,neural,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0.83,0,0
 24-34,0,0,0,9.82,0,0
 48-58,0.97,0,0,3.3,0.51,0
 60-70,0,0,4.9,2.18,0,0
 72-82,1.89,0,0,3.9,0,0
 84-94,0,0.64,1.13,1.29,0,0
 96-106,2.17,0,0,11.78,0,0.64
