stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.45,497.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,0,0,0,0,0,0,0
  5-6,16.83,704.71,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,24.87,34.55,0,0,0,7.22,0,0,0,0,0,0,0,0
  7-9,10.48,13.62,17.76,0,0,67.16,0,0,0,7.5,0,0,0,0,0,0,0,477.23,3.21,0,0,210.05,0,0,0,0,0,0,0,0,0
 10-12,0,30.14,34.15,0,17.17,29.55,0,0,0,16.1,0,0,0,0,0,0,0,508.19,5.2,0,0,147.17,0,0,36.97,0,4.33,0,0,0,0
 14-21,0,0,1.33,3,1.17,4.85,0,0,4.51,0,0,1.26,0,0,5.14,0,3.96,91.8,0,0,0.88,0.92,2.86,1.9,1.05,5.42,25.41,0,0,0,0
 24-34,0,0,0,0,0,12.47,0,0,5.93,0,0,0,0,0.77,8.21,0,3.13,144.04,0,2,0.64,1,3.14,0,0,1.98,29.16,0,2.55,0,0
 36-46,0,0,0,0.55,0,14.09,3.44,0,7.87,0,0,0,0,0,10.38,0,2.16,129.44,0,2.53,0,0,0,0,0,0,11.07,0,0,0,2.19
 48-58,0,0,0,7.31,0,28.52,0,1.32,4.75,0,0,0,0,0,10.71,0,2.07,113.93,0,0.77,0,0,4.84,0,0,0,16.16,0,0,0,0
 60-70,0,0,0,0.74,0,40.51,4.82,0,7.27,0,0,0,0,0,15.54,0,1.19,99.68,0,1.27,0,0,0.69,0,0,0,17.37,0,0.57,0,0
 72-82,0,0,0,1.04,0,21.63,0.5,0,6.44,0,0.74,0,0,0,11.38,1.61,1.4,113.29,0,0,1.09,0,1.11,0,0,0,8.41,0,1.22,0.49,0
 84-94,0,0,0,0,0,20.61,0,5.98,5.58,0,4.19,0.58,0.75,0,8.26,0,0.98,41.91,0,0,0.84,0,3.25,0,0,0,6.91,0,0.62,0,0
 96-106,0,0,0,2.24,0,25.63,0,0.84,12.42,0,0,0,0,0,10.09,0,1.08,62.47,0,0.66,0.61,0,2.44,0,0,0,0,0,0,0,0
108-118,0,0,0,5.21,0,18.25,0,0.82,8.27,0,0,0,0,0.84,20.94,0,5.3,89.51,0,0,4.54,0,0.69,0,0,0,3.2,0.89,3.41,0,0.75
120,0,0,0,0,0,39.22,0,0,3.15,0,0,7.56,0,0,11.24,0,3.16,150.84,0,0,0,0,0,0,0,0,0,0,0,0,0
