stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,37.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,21.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.6,0,0,3.57,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.21,40.18,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.44,48.58,0,0,39.35,0,0,17.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.25,0,0,0,0,0,2.49,0,0,2.54,0,0,0,0,3.41,0,0,1.63,47.99,18.32,0,0,0.9,0,0,0,0.88,2.58,27.88,0,0,1.49,0,0
 24-34,0,0,2.11,0,2.16,0.69,3.81,0,0,1.21,8.71,0,0,0,0,0,0,0.6,0.62,0,0,7.08,242.79,0,10.19,0.74,0,0,0,0,0,1.33,47.67,0,0,5.74,0,0
 36-46,0,0,0,0,0,0,22.45,0,0,0,3.67,0,0,0,0,0,0,0,6.61,0,0,2.1,365.43,0.84,1.88,0.78,0,0,12.71,0,0,0,97.13,0,0,1.33,0,0
 48-58,0,0,0,0,0,0,37.87,1.05,0,1.17,2.79,0,0.42,0,13.98,0,0.4,0,21.17,0,2.91,4.68,351.15,0.42,5.64,1.69,0,1,0,0,0,0,100.11,0,0.42,1.45,0,1.78
 60-70,0,0,0,0,13.62,0,87.71,0,0,1.06,14.1,2.4,2.2,0,1.84,0,3.2,0,59.56,0,0.81,0.9,414.51,0,6.45,2.98,0,1.9,0,0,0,0,113.46,0,0,1.81,0,0
 72-82,0,0,4.57,0,10.52,0.94,91.94,0,1.55,13.52,32.93,2.86,0.59,0,2.36,0,1.85,0,103.09,5.11,4.81,4.34,432.16,0,12.86,6.64,0,4.97,0,0,0,0,105.82,1.21,2.49,1.35,3.81,0
 84-94,0,0,3.1,0,5.54,0,90.51,0,0,2.89,13.26,7.82,0,0,7.14,0,3.72,0,129.79,0,16.15,4.25,381.44,1.95,6.26,8.46,0,5.69,0,0,0,0,73.75,0,2.31,4.36,0.82,0
 96-106,0,0,1.89,0,5.03,0,99.34,0.57,0,21.73,13.95,3.09,0,0,9.02,0.75,1.36,2.01,114.52,0,1.03,3.59,420.96,0.79,9.74,7.06,0,25.25,2.88,5.44,0,0,35.33,0,6.59,6.02,4.39,0
108-118,0,0,3.67,0.44,8.54,0,116.81,0.44,0.72,3,20.45,2.83,0,1.7,8.81,0,5.25,0,138.36,0,2.18,4.28,613,0,9.83,4.53,0,12.6,2.94,0,0,0,34.03,1.13,2.46,3.85,3.27,0
120,0,0,8.31,0,2.38,12.4,133.61,0,0,0,34.49,2.91,0,0,8.93,0,0,19.61,157.49,0,39.71,0,745.04,0,4.98,17.76,0,11.71,2.51,0,0,0,45.21,1.12,5.29,0,0,0
