stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,10.18,140.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.16,208.3,0,0,0,0,0,0,0,0,9.55,7.94,0,7.18,0,0
  7-9,8.15,5.76,3.56,0,0,3.84,7.47,0,0,0,54.85,3.53,20.05,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,1.29,0
 24-34,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0
 60-70,0,0,0,0,0,0,0,1.23,0.87,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,5.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0
 96-106,0,0,0,6.61,0,0,0,2.57,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.36,2.08,0,10.43,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,8.92,0,2.15,6.25,0,0,0,0,3.36
