stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.34,134.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0
  7-9,4.98,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.15,0,0,0,15.11,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4.19,0.82,0,0,0,0,0,0,0,0,0,0,0.86,0,0,9.25,0,0,0,9.78,0,6.07,0,0,0,0,0
 24-34,0,0,0.84,0,2.56,8.58,17.27,0,0,0,0,0,1.55,0,0,0,0,1.59,4.95,0,40.79,2.4,1.16,0,4.99,0.76,9.06,0,0,2.08,0,0
 36-46,0,0,0,0,0.93,0.92,34.85,0,0,1.52,0,1.53,0,0,1.36,0,1.49,0,0,0.85,93.25,6.16,0,0,0.88,0,17.22,0,0,2.36,0,0
 48-58,0,0,0,1.75,0,2.71,84.98,0,4.46,5.45,0,0.52,0,2.19,0,0,0,0,1.76,1.1,111.45,2.28,0,0,0,0,15.03,0,0,0,0,0.48
 60-70,0,0,0,0,3.87,4.52,140.04,0,0,4.54,0,0,0,3.69,0,0,0,5.23,0,0,115.09,1.48,1.12,0,0,0,12.58,0,0,8.01,0,0
 72-82,0,0,0,0,0.78,13.13,106.01,0,0,4.88,1.26,1.64,0,1.41,0.65,0,7.54,10.02,0,0,92.39,3.57,0,6.6,0,0,14.3,0,0,0.5,0,0
 84-94,0,0,2.24,0,1.36,21.06,130.93,0,0,5.95,0,2.94,0.72,3.81,0,0,1.05,10.4,0,0,70.27,0.95,3.32,11.65,0,0,2.92,0,1.79,2.75,0,0
 96-106,0,0,1.57,0,4.46,21.45,91.66,0,0,13.07,1.96,2.69,0,4.79,0,0,0,13.11,0,0,71.27,3.96,0,0.89,0,0,10.96,2.27,0,0,0,0
108-118,0,0,0,0,4.63,9.19,87.1,0.52,0,4.52,0,1.75,0.52,12.16,0,0.9,0,0.79,0,0,36.53,0.42,0,2.27,1.54,0,0,1.45,0.67,1.53,1.09,0
120,0,0,0,0,3.3,25.19,89.1,10.09,0,30.4,0,3.41,0,12.91,4.37,0,0,21.4,0,0,150.08,0,0,0,0,0,0,2.25,0,0,0,0
