stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,5.98,0,0,4.43
 24-34,0,0,0,0,0,0,0,0,0,64.54,0.96,6.67,7.4
 36-46,0,0,0,6.18,0,0,0,0,0,158.12,0.93,0,23.32
 48-58,0,0,0.45,23.18,0.64,0,0,2.81,0,235.65,0.97,0,23.17
 60-70,0,0,0,46.1,0,0,0,0,0,313.13,1.62,0,40.85
 72-82,0,1.12,0,60.32,0.73,0,0,0.53,0,308.36,0,0,26.4
 84-94,0,0,0,43.15,4.33,1.94,0,1.98,0,232.38,0,0,22.9
 96-106,0,0,0,27.18,1.04,0,6.67,2.74,0,125.27,0,0,11.13
108-118,0,2.12,0,22.73,1.35,0,0,0,0.92,197.34,1.88,0,0
120,4.41,0,0,13.22,19.28,0,0,3.48,0,176.63,0,0,8.24
