stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,11.32,347.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.45,0,0,0,0,0,0
  5-6,41.52,998.24,0,0,0,0,0,0,0,11.49,0,0,0,223.32,0,0,0,24.95,42.83,0,0,0,0,0,0
  7-9,21,103.07,0,62.52,0,0,135.23,0,0,15.73,0,0,0,2328.95,17.63,0,0,1031.53,22.48,0,0,0,0,0,0
 10-12,0,75.84,0,78.99,0,5.97,158.49,0,0,4.26,0,0,0,2967.76,8.21,0,0,952.74,30.52,10.74,84.5,0,5.73,0,0
 14-21,0,0,0,0,126.4,2.87,8.47,2.96,1.83,0,0,14.16,13.24,630.39,3.7,0.86,2.98,9.45,57.87,57.17,0.91,1.04,42.08,80.27,0
 24-34,0,0,0,0,0.87,0,2.19,0,0,0,0,0.89,0,90.49,0.79,0.67,0,0,20.37,0,0,0,1.68,5.79,0.85
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,29.74,0,0,0,0,4.66,0,0,0,0,8.07,0.88
 48-58,0,0,0,0,0.47,0,1.21,0,0,0,0,7.18,0,15.54,0,0,0,0,8.51,0,0,0,0,2.07,3.06
 60-70,0,0,0,0,0,0,6.27,0,0,0,0,0.94,0,9.16,0,0.7,0,0,0.57,0,0,0,0,0,5.44
 72-82,0,0,0.69,0,0,0,2.37,0,0,0,0,1.08,0,4.62,0,0,0,0,2.28,0,0,0,0,0,1.62
 84-94,0,0,0,0,0,0,13,1.39,0,0,0,0.73,0,4.82,0,0,0,0,7.32,0,0,0,0,0,6.1
 96-106,0,0,0,0,0,0,2.83,0,0,0,0,0.95,0,2.1,0,0,0,0,4.85,0,0,0,0,0,0.57
108-118,0,0,0,0,0,0,1.63,0,0,0,0.59,0,0,0,0,0,1.35,0,4.35,0,0,0,0,0,6.93
120,0,0,0,0,0,0,2.46,0,0,0,0,0,0,10.9,0,0,0,0,6.7,0,0,0,0,0,1.55
