stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.41,0,0,0,3.54,0,0,0,0,0,0,0
 10-12,0,0,0,0,18.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.51,0,0,0,8.13,0,14.35,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,1.77,52.75,0,0,0,0,0,0,4.11,0,0,0,0
 24-34,0,0,0,5.54,0,0,13.13,0,0,0,2.69,0,2.45,0,0.61,0,0,5.2,0,10.02,0.81,1.75,444.56,0,8.26,1.68,0,11.28,0,47.72,0,2.2,0,0
 36-46,0,0,0,0,0,0,47.44,0,0,0,11.86,0,0.68,0,0,0,0,0,0,19.07,0.55,2.55,969.94,0,25.05,0,0,1.63,0,71.76,0,0,0,1.54
 48-58,0,0,0,10.17,3.01,0,62.02,0,0,0.85,27.35,0,0,0,0,0,0,0,1.56,22.47,3.49,4.31,1480.74,3.12,29.36,0,3.66,1.29,0,98.83,0,0,0,0
 60-70,0,0,0,25.55,4.83,0,223.5,0,1.61,0.73,128.72,0,1.69,0,0,3.16,0,0,0,64.56,4.38,2.94,3312.09,0,23.7,0,0,4.58,0,215.34,0,0,0.61,11.43
 72-82,0,0.87,0,15.34,0,0,397.76,0,0.72,4.98,118.64,0,0,0,0,0,0,4.33,3.59,64.43,10.42,10.34,3482.13,2.6,60.93,0,0,3.45,0,281.8,0,0,1.77,3.65
 84-94,0,0,0,31.32,3.2,0,334.3,0.57,0.68,0,84.83,0,0,6.63,0,9.96,0,9.94,0,38.14,6.27,10.04,2253.65,0,56.88,0,0,6.07,1.25,199.35,0,2.52,0.91,0
 96-106,0,0.99,0,21.54,0,0,398.33,5.49,0.66,0,83.62,0.58,1.82,0,0.66,0.76,0.97,0,0,66.45,2.96,9.41,2139.48,0,99.14,0,0,11.71,1.3,62.24,0.87,5.14,0,2.59
108-118,0,0,0,27.34,1.72,0,312.24,0,0.6,4.13,111.6,0.43,0,2.19,0.47,1.01,0,0.56,0,65.41,2.05,4.18,2040.26,0,36.45,0.43,0,11.86,0,78.61,0,0.56,3.96,0
120,0,0,0,77.04,7.31,13,351.94,0,0,1.56,122.62,0,0,2.76,0,0,0,0,0,68.29,11.56,10.84,3614.36,0,72.34,0,0,1.37,0,131.39,0,0,0,13.4
