stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vascular.smooth.muscle
 14-21,0,3.55,0,0,0,0,0.97,0,0,0.8,0,0,0,0,6.17,4.88,0,8.13,0,0,0
 24-34,0,20.9,0,0,1.37,0,0,1.37,0,2.23,0,0,0,0,0,0.6,2.06,16.31,0,0.86,0
 36-46,0,30.2,0,0,8.66,0,0,0,0,0.67,0,0,2.82,0.65,0,0,0.84,14.31,0,0,0
 48-58,0,9.56,2.32,0,3.77,0,0.57,0,0,0,0.37,0.71,0.65,0,2.34,0,0,4.02,0,0,0
 60-70,0,13.93,0,0,3.12,1.9,0,0,0,0,0.7,3.84,0,0,4.04,0,0,7.84,0,0,2.4
 72-82,0.69,5.59,0,0,2.59,1.6,0,1.32,0,0,1.68,6.11,0.58,0,0,0,0.58,1.37,0.66,0,0
 84-94,0,25.19,0,0,4.83,2.76,0,0,0,0.61,0,0,1.23,0,0.92,0,0,10.55,0,0,0
 96-106,1.38,6.26,0,0,2.67,4.56,0,0,0,1.13,1.28,0,0,0,0,0.62,1.03,4.52,0,0,0
108-118,0,12.29,0.46,0,1.12,2.54,0,0,2.04,0,1.51,14.39,4.07,0,9.52,0,1.8,23.58,0,0,0
120,0,30.81,4.04,2.44,1.84,7.85,0,0,0,1.4,4.98,4.34,0,0,5.85,0,0,16.44,0,0,0
