stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0
 24-34,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,1.51,2.86,12.11,0,0,0,1.41,2.49,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,2.47,0,2.35,0,0,0,2.75,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,10.29,1.28,4.86,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.8,0,13.59,0,0.84,0,0,0,9.58,0,0,0,0,2.72,3.26,0,0,1.44
 72-82,0,0.71,0,2.22,1.04,0,0.58,0.56,0,0,0,0,0,0,8.64,1.93,0,0,0,0,1.12,0,0,0
 84-94,0,0,0,0,1.57,0,3.38,0,1.42,0,0,0,2.15,0,3.34,0,1.91,0,0,0.87,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,2.52,2.06,0,1.15,0,0,0.67,0,2.54,0
108-118,0,0,0.72,0,2.19,0,0,0,2.9,0,0,0,0,0,11.51,1.1,0,0,0,0.77,0,0.52,0,0
120,0,0,2.51,0,0,7.8,0,0,0,6.3,0,0,0,0,4.94,0,7.48,0,0,0,0,0,0,0
