stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,251.92,1874.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.56,0,0,0,0,0,0,0,0,0,0
  5-6,814.75,4945.38,148.95,0,0,0,0,0,0,0,0,0,38.38,0,0,0,0,0,0,0,0,0,0,0,545.68,0,0,0,86.68,0,107.31,0,0,0,0,0,0,0,0,0,0
  7-9,5.24,36.35,205.05,0,0,0,35.2,0,0,0,0,0,65.95,0,0,0,0,0,0,0,0,0,0,0,477.41,19.54,0,0,1947.01,0,18.73,14.67,0,0,0,0,0,0,0,0,0
 10-12,0,92.96,118.63,0,5.14,0,14.54,0,0,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0,903.2,17.36,0,0,1376.5,0,16.87,14.35,19.91,178.11,0,0,0,0,0,0,0
 14-21,0.93,0,0,293.28,11.28,0,11.96,0,0,0,36.64,0,0,7.26,0,18.76,0,0,15.36,0,32.92,1.64,0,4.4,172.32,15.42,0,9.52,26.25,0,101.57,0,354.38,0,1.78,160.12,109.02,0,0,3.27,0
 24-34,0,0,0,32.03,0.87,0,5.44,0,0.62,0,68.27,0,0,0.6,1.2,20.55,0,2.5,3.7,0,23.9,13.75,0,8.23,257.96,0.7,1.61,6.28,0,0,137.41,0,2.79,1.26,0,43.63,232.87,0,0,35.81,0
 36-46,0,0,1.41,27.79,0,0,8.26,0,1.89,0.75,107.37,0,0,0,0,2.49,0,0,0,0,13.3,0.77,0,1.07,99.33,0,0,0.85,0,0,203.93,0,0,0,0,0.8,132.86,0,0,16.6,0
 48-58,0.77,0,0,7.3,0.41,0,8.46,0,5.12,2.59,89.96,0.41,0,0,0,9.4,0,4.33,0,6.99,15.7,2.86,0,2.67,47.42,0,0,1.31,0,0,89.05,0,0,0,0,0,76.86,0,0,18,0
 60-70,0,0,0,13.45,0,0,8.66,1.1,5.03,1.21,30.43,0.69,0,1.76,0,1.1,0,2.35,0,0,10.87,0,0,1.81,23.77,8.85,0,0,0,0,78.33,0,0,0,0,0,22.81,0,0,15.09,0
 72-82,0,0,0.75,19.81,0,0,11.65,0,0.81,2.06,77.95,3.44,0,0.87,0,0.63,0,2.9,1.08,2.41,25.82,1.97,0,4.77,13.48,4.91,0,4.07,0,1.4,41.55,0,0,0,0,0,4.25,0,0.87,12.62,0
 84-94,0,0,3.04,26.11,0,0,4.22,0,3.84,0,74.36,15.43,0,1.45,0,4.16,0,2.2,0,10.38,9.53,4.99,0,4.78,26.61,0,0,2.77,0,0,149.94,0,0,1.29,0,0,0.82,1.32,0,5.67,0
 96-106,0,0,0.87,33.52,3.45,0,22.5,0.69,9.33,0,27.8,8.4,0,2.64,2.47,4.61,0,2.22,9.13,1.75,32.28,5.71,2.88,3.95,37.93,0.61,0,2.66,0,0,222.84,0,0,0,0,0,14.07,2.87,0,11.81,0
108-118,0,0,4.79,45.97,0,1.76,14.77,3.17,17.49,0.73,40.37,15.15,0,0.69,0,7.65,0.95,1.37,2.6,13.36,46.06,11.37,4.73,3.81,18.17,5.88,0,0.42,0,0,263.78,0,0,0,0,0,0,0,0,8.52,0.72
120,0,0,0,20.29,0,0,16.02,2.44,15.33,0,54.78,23.04,0,0,0,1.72,0,4.72,6.57,6.51,73.72,1.32,0,5.68,53.61,5.14,0,9.57,0,0,85.04,0,0,0,0,0,5.07,0,0,23.05,3.93
