stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0.98,0,0,0,0
 24-34,0,2.5,0,0.88,0,0,0,0,0,0.86,0,8.05,0,0,0,9.05,0,0,0,0
 36-46,0,6.06,0,0,0,0,0,0,0,0,0.83,9.04,0,0,0,9.54,0,0,0,0
 48-58,0,2.68,0,0.83,0,0,0,0,0,1.81,0,13.62,0,0,0,3.18,0,0,0,0
 60-70,0,25.47,5.18,1.48,0,0.71,0,0,0,19.8,0,49.61,0,0.87,0,4.1,0.63,0.68,0.71,0
 72-82,9.68,33.94,0,4,0,0,0,0,0,10.8,0,22.11,0,0.51,0.6,1.2,0,0,0.56,0
 84-94,0.66,17.55,0,4.19,0,0,0,0.62,0,7.54,0,7.25,0,0.84,0,0,0,0,0,7.91
 96-106,0,14.36,0,2.93,0.71,0,0.73,0,0,1.53,0.71,8.55,1.65,0,0,0,0,0,0,0
108-118,1.21,15.31,0.8,2.92,0,0,0,0,0.42,2.2,0.58,24.15,0,0,0,0,0,0,0,0
120,0,13.3,0,1.77,0,0,0,0,0,2.49,0,3.02,0,0,0,0,0,13.91,0,0
