stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  3-4,186.75,4288.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0
  5-6,76.86,1250.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.57,0,0,0,0,16.73,0,0,0,0,0,0
  7-9,0,4.87,44.99,0,0,0,26.65,0,0,0,4.32,0,0,0,0,0,0,175.27,0,0,0,45.66,0,5.5,0,0,0,0,0
 10-12,0,0,709.08,0,0,0,15.39,0,0,0,0,0,0,0,0,0,0,347.2,0,0,0,26.59,0,0,0,0,0,0,0
 14-21,0,0,2.03,568.75,1.21,0,0,0,0,0,0,0,0,0,29.53,0,2.07,13.68,0,0,0,0.83,0,0,0,4.18,5.34,0,0
 24-34,0,0,0.67,460.3,0,0,4.48,1.47,0,0,0,1.87,0.91,0,0.8,0,4.45,21.31,0,0.65,0.94,0,1.12,0,0,0,0,0,0
 36-46,0,0,0,314.75,0,0,4.22,0,0,0,0,0,0,0,19.48,2.75,0.73,43.79,0,1.4,0,0,5.09,0,0,0,0.73,0,0
 48-58,0,0,0,276.89,0,0,4.66,1.4,3.35,0,0,2.12,0,0,3.45,0,0.47,38.09,0,0,1.84,0,0,0,0,0,1.49,0,0.73
 60-70,0,0,0,225.64,1.4,0,5.61,0,1.08,0,0,0,0,0,16.01,2.38,0,28.49,0,0,0,0,3.14,0,0,0,0,0,3.19
 72-82,0,0,0,111.79,0,0,6.14,0,1.3,0.65,0,2.63,0,0,10.81,0,0,12.39,0,1.94,0,0,4.58,0,0,0,1.37,1.21,0
 84-94,0,0,0,228.54,0,0,4.62,14.92,1.32,0,0,3.39,0,3.62,6.07,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,203.86,19.97,0,3.87,5.7,3.72,0,0,8.52,0,0,4.93,0,0,15.04,0.62,0.7,0,1.2,0.69,0,0,0,0,0,0
108-118,0,0,0,152.51,0,0.55,3.69,12.17,8.54,0.85,0,4.75,0.76,2.4,4.53,0,0.6,23.63,0,2.61,0,0,0,0,0.63,0,0,0,0
120,0,0,0,251.28,0,0,0,16.61,0,1.55,0,14.9,7.71,0,2.49,0,0,31.33,0,0,0,0,0,0,0,0,0,0,0
