stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,129.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.96,107.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.28,0,3.51,0,0,23.73,0,0,0,0,10.04,0,0,0,0,0,0,0,0,143.22,0,0,0,57.9,0,5.26,0,0,0,0,0,0,0
 10-12,0,15.01,14.43,0,5.18,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,187.6,0,0,0,101.5,0,0,0,9.47,0,0,0,0,0
 14-21,0,0,0,14.13,5.16,2.88,0,0,12.1,0.94,0,0,0,0,0.92,0,4.84,0,1.65,134.02,0,1.87,0,3.57,0,0,3.89,1.74,10.02,57.91,0,0,0
 24-34,0,0,0,1.46,0,35.71,0,0,2.69,0.63,0,0,0,0,0.78,0.69,20.83,0,6.53,379.82,1.72,3.06,1.69,0,2.84,0,0,0,0.61,65.82,2.68,0,0
 36-46,0,0,0,0.66,0.81,81.99,18.03,0,8.58,0,0,0,3.69,0,0,0,10.37,0.55,1.53,243.03,0,2.73,0,0,3.68,0,0,0,0,53.57,0.75,0,0
 48-58,0,0,0,1.6,0,114.18,1.54,0,20.27,0,0,0,0,0,0,0,15.14,0.91,6.87,142.72,0,4.62,0,0,0,0,0,0,0,27.38,2.6,0,0.38
 60-70,0,0,0,0.77,0,75.07,4.81,0,20.77,1.58,0,0,0,0.61,0,0,12.21,0,0,127.15,4.7,6.9,4.77,0,2.06,0,0,3.18,0,7.04,0,0,0
 72-82,0,0,0,1.3,5.38,27.89,0,0,7.59,0.7,0,0.51,0,0,0.55,0,6.48,0,1.28,50.41,0,3.2,0,0,0,0,0,0,0,7.44,0,0.71,0
 84-94,0,0,0,2.05,0,34.16,0,0,8.4,0,0,0,0,1.68,0,0,6.28,6.8,2.45,37.37,0,4.65,0,0,0,0,0,0,0,0,1.71,0,0
 96-106,0,0,0,1.92,0,10.73,0,0,5.54,0.66,0,0,0,0,0,0,8.14,0,0,25.8,0,4.69,3.9,0,0,0,0,0,0,1.07,0,0,0
108-118,0,0,0,0.59,4.96,19.63,0,1.21,11.81,0.69,0,0,0,0,0.6,0,3.01,0,1.58,48.46,0,6.54,0,0,1.85,0,0,0.64,0,0,2.03,0,0
120,0,0,0,13.35,1.25,15.52,0,5.84,36.6,0,0,0,0,0,0,0,9.42,10.27,0,27.41,0,0,0,0,0,0,0,0,0,0,0,0,0
