stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.53,4285.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.61,0,0,0,0,0,0,0,0,0,0
  5-6,188.23,2559.97,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,73.56,7.03,0,0,19.9,0,342.27,0,0,0,0,0,0,0,0,0,0
  7-9,33.93,28.95,0,19.7,0,0,0,28.71,0,0,0,0,0,17.96,0,0,0,0,0,0,0,0,0,0,478.51,4.1,0,0,208.49,0,288.98,16.2,0,0,0,0,0,0,0,0,0
 10-12,0,29.09,0,32.32,0,0,0,18.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.45,17.94,0,0,131.34,0,65.65,5.55,40.44,0,0,4.33,0,0,0,0,0
 14-21,0,0,0,2.25,33.34,21.37,0,3.26,0,0,0,1.34,0,0,0,0,0,0,1.57,0,22.91,1.63,0,18.78,68.17,2.6,1.84,2.42,0,0,267.42,0,51.31,2.97,16.9,140.17,0,0,0.9,0,0
 24-34,0,0,0,0.87,51.22,2.36,0,4.8,0,8.9,1.57,2.24,0.96,0,0,0,0.85,0,2.87,0,38.53,0.74,0,27.03,197.06,0,13.52,5.06,0,0,393.3,0,60.65,0,1.74,389.51,0,0,3.1,0,0
 36-46,0,0,0,0,33.6,0,0,13.04,0,30.43,0,2.09,0.95,0,4.38,0,1.49,0,1.93,0,20.67,0,0,13.71,240.97,0.6,26.34,3.93,0,0,582.13,0,53.66,3.29,0,562.3,0,0,0.68,0,0
 48-58,0,0,0,0,34.96,0,0,59.76,0.8,13.84,2.09,25.77,2.92,0,5.95,0.52,0,4.87,0,7.89,12.89,2.2,0,7.81,303.13,1.38,10.02,0.43,0,0,319.75,0,36.41,0.48,0,387.84,0,0,0,0,0
 60-70,0,0,0,0,61.26,0,0,845.61,5.07,29.7,0.84,59.02,3.98,0,9.56,0,1.74,4.01,2.2,0,21.38,0,7.6,2.77,369.39,0,8.84,2.7,0,0,385.12,0,32.7,0,0,307.78,1.44,0.96,0,5.73,0
 72-82,0,0,0,0,49.65,3.82,1.22,1497.02,0,16.06,0,72.16,12.2,0,9.62,4.17,3.79,23.7,0,0.62,56.63,1.51,12.79,18.76,373.48,0,14.37,5.18,0,0,259.04,0,19.67,0,0,290.01,1.74,3.65,0.72,52.87,0
 84-94,0,0,0,0,93.42,0,0,913.07,0,33.66,0,64.14,37.06,0,0,0,3.75,34.04,2.31,0,18.42,1.61,14.51,37.42,314.82,0,15.62,12.33,0,0,728.95,0,26.84,0,0,142.64,4.14,4.12,3.03,85.25,0
 96-106,0,0,0,0,106.64,8.53,0,1050.97,1.42,48.99,0,126.43,86.95,0,11.96,2.21,8.64,21.93,4.44,12.16,46.9,10.59,2.78,33.14,278.7,0,26.94,7.73,0,2.97,827.35,0,32.49,0,0,84.47,5.17,0,3.46,92.72,1.59
108-118,0,0,4.51,1.06,177.84,2.6,10.49,1009.12,0,50.32,2.77,124.5,104.39,0,6.82,3.23,11.88,31.21,0.76,0,52.41,6.96,9.03,45.63,352.33,0,20.48,13.13,0,3.54,516.51,0,16.86,0,0,88.84,10.81,0.67,1.88,139.16,0
120,0,0,0,0,199.09,1.94,0,356.35,0,25.94,0,315,92.32,0,30.13,11.88,12.83,55.08,0,0,38.58,15.19,0,45.03,655.98,0,35.5,34.33,0,0,346.75,2.5,28.1,0,0,167.59,2.99,3.03,0,440.52,0
