stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,99.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,22.27,0,0,8.59,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,207.36,15.09,0,0,40.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.68,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,289.55,9.31,0,0,56.65,0,0,0,0,24.51,0,0,0,0,0
 14-21,0,0.81,25.22,1.78,1.01,0,0,1.16,2.36,0,0,0,0,0,0,0,4.25,0,2.1,75.48,0,0,0,1.71,0,4.02,0,3.34,0,1.79,12.14,1.64,0,0
 24-34,0,0,0.64,0,4.97,0,0,1.69,1.19,0,0,0,0,0,0,4.75,0.86,0,5.55,44.09,2.43,0,1.74,0,0,6.14,0,0,2.82,1.97,8.31,3.03,0,0
 36-46,0,0,3.08,0,11.84,0,0.88,2.94,0,0,0,0,0,0,0.61,0.59,13.84,0,0,61.58,0,1.42,0,0,0,14.27,0,0,0,0,10.44,3.57,0,0
 48-58,0,0.43,1.01,0,5.71,0,0,5.23,0,0,0,0,0,0,1.27,0,11.9,0,2.81,24.74,0,0.88,0.55,0,0,2.24,0,0,0,0,11.46,1.49,0,0
 60-70,0,0,9.26,0,2.54,0,0,13.32,0,0,0,0,0,0,0,0,4.48,0.66,0.72,10.56,0,0,0,0,0,2.19,0,0,0,0,5.28,0,0,0
 72-82,0,0,6.11,0,4.41,0,1.26,13.54,1.39,0,0,1.37,0.53,0,0,0,37.59,1.12,0,26.67,0,0,0,0,0,6.19,0,0,0,0,3.1,2.46,2.68,0
 84-94,0,0,3,0,16.71,0,0,12.93,0.66,0,0,3.24,0,0.81,0,0.67,41.87,0,0,44.65,0,0,0.88,0,0,7.77,0,0,0,0,0,5.92,0,5.78
 96-106,0,0,15.31,3.16,9.36,0,0.81,10.32,1.51,0,0.61,0.58,0,0,4.08,0.6,45.29,0,4.09,76.54,0,0,2.84,0,1.11,2.97,0,0,0,0,3.44,5.56,0,0
108-118,0,0,12.69,1.76,14.58,2.27,2.92,19,2.5,0,0,0.55,0,0.73,0.6,5.15,30.72,0.45,0.91,52.6,0.47,1.34,0.6,0,0,2.74,0,0,0,0,9.85,3.15,0,0
120,0,0,15.69,0,3.17,1.75,0,10.2,0,0,0,6.61,0,0,0,6.72,38.2,0,0,102.38,0,0,7.86,0,0,4.84,1.53,0,1.86,0,0,5.69,0,3.14
