stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.12,19.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,25.07,0,0,20.76,0,0,0,0,0,4.4,0,0,0,0,0,184.38,0,0,16.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.31,0,0,13.92,0,0,0,0,0,12.71,0,0,0,0,0,124.62,0,0,50.12,0,0,6.03,0,0,0,0,0,0
 14-21,0,0,0.9,10.62,0.97,1.25,0,0,0,0,0,0,0,0,3.06,0,1.88,4.85,0,0,0.82,0,4.62,0,1.78,0,1.01,6.46,0,0
 24-34,0,0,0,2.67,0,1.05,0,0,0,0,0,0,0.7,0,2.93,0,0,5.48,0,1.17,0,0,0,0,0,4.74,0,0,0,0
 36-46,0,0,0,1.3,0,1.22,0,0,0,0,1.33,0,0,0,4.41,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.18,0,2.91,0,0,0,0,0,0,1.31,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,12.47,0,0,0,0,0,0,0,1.37,5.8,0,0,0,0,0,0,0,0,0,0,56.62,0,0,0,0
 72-82,0,0,0,0.71,0,25.27,0,0,1.59,0.66,2.17,0,1.04,0,7.06,0,1.46,20.48,0,0,0,0,0,0,0,205.07,0,0,0,1.09
 84-94,0,0,0,2.04,0,2.14,0,0,0,0,1.29,0,0.63,0,6.91,0,0,9.24,0,0,0,0,0.76,0,0,420.75,0,0,0,0
 96-106,0,0,0,2.23,2.64,23.94,0.86,0,0,7.32,2.53,0,0,0,7.12,0,0,14.76,0,1.65,0,3.21,14.71,0,0,778.93,0,0,4.56,0
108-118,0,0,0,11.99,2.72,17.89,0,0.54,0.49,0,0.67,0,0,3.33,16.16,0.75,0,29.12,1.41,0.48,0,0,6.81,0,0,927.88,0,0,0,0.65
120,0,0,0,0,0,28.12,0,0,0,7.82,0,0,0,0,18.59,0,0,30.83,0,11.89,0,0,1.21,0,0,697.47,0,0,0,0
