stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,74.07,1726.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0
  5-6,59.16,1333.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.55,0,0,0,0,15.26,0,0,0,0,0,0,0,0,0,0
  7-9,64.32,53.93,0,64.61,0,0,0,46.64,0,0,0,0,0,62.16,0,0,0,0,0,0,0,0,0,0,0,803.61,67.13,0,0,378.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,46.47,0,96.33,0,14.97,0,70.61,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,1025.25,42.52,0,0,335.37,0,0,37.95,0,24.7,9.29,0,0,0,0,0
 14-21,0,0,0,4.25,39.53,50.69,0,3.87,0,0,0,11.17,0.92,0,1.3,0,13.65,0,0,0,0,13.17,0,0,17.53,139.35,3.2,2.23,1.9,3.42,5.12,6.01,38.72,4.91,16.93,59.71,0,0,1.8,0,0
 24-34,0,0,2.23,2,13.29,116.46,0,36.74,0,0.71,0.89,18.65,0,0,0,0.87,12.42,0,0.61,7.77,5.49,50.66,0.7,0,17.06,489.76,0,8.12,3.63,0,18.79,0,37.3,3.33,1.75,115.45,0,0,9.87,0,3.2
 36-46,0,0,0,0.63,3.87,24.59,0,107.56,3.29,0,1.76,35.61,0,0,0.88,2.86,2.12,4.46,1.78,0.66,0,60.6,4.32,0.63,13.74,633.83,2.54,3.74,1.71,0,19.44,0,27.65,0.67,0,137.83,0,0,8.1,0,2.36
 48-58,0,0,0,0,6.46,30.49,0,288.84,0,2.5,0.55,102.95,0,0,0,8.45,8.61,0,0.48,0,3.63,93.06,0.42,0.85,12.41,572.83,6.91,5.37,2.06,0,21.88,0,3.04,3.14,0,150.12,0,0,6.34,0,6.08
 60-70,0,0,0,0,14.38,9.05,0,382.81,0,9.51,1.54,162.14,0,0,0,0,10.34,1.24,0,1.72,1.64,99.16,0,2.29,3.53,363.88,0,4.18,1.75,0,11.95,0,1.68,0,0,95.34,0,1.29,11.5,0,5.11
 72-82,0,0,2.32,3.87,8.62,19.51,0,407.34,0.55,3.03,0,146.29,3.3,0,0,0,2.8,4.47,0.79,0,0.49,87.87,2.15,7.09,0.53,370.13,7.39,5.9,6.29,0,7.87,0,5.87,0,0,35.39,4.74,0,11.49,3.14,15.13
 84-94,0,0,0,0,13.28,23.11,0,268.06,1.16,3.9,4.47,77.8,7.14,0,3.23,3.01,10.06,0.55,0,2.4,1.47,71.85,0.76,1.96,3.54,272.3,0,6.31,6.93,0,17.3,0,8.55,0,0,25.76,0.97,0.64,1.76,0.77,10.67
 96-106,0,0,1.14,0,16.75,28.5,1.09,243.45,0.62,0.76,2.28,146.96,7.75,0,2.35,4.87,6.23,2.52,0,0,1.03,45.13,2.09,2.64,8.29,182.8,0.57,7.69,32.66,0,17.92,0,1.47,0,0,14.92,0,0,10.32,0.65,0
108-118,0,0,1.38,0.49,17.59,38.05,5.12,335.07,0,0.7,1.08,135.53,10.99,0,0.61,2.6,8.38,4.81,4.17,3.05,0.59,45.32,0,2.19,5.67,306.48,2.36,6.79,7.35,0,25.25,0,5.52,0,0,4.07,3.86,4.12,0.58,0.42,0
120,0,0,0,1.28,44.69,59.24,0,184.33,2.44,10.06,0,143,10.08,0,0,2.34,4.16,5.74,4.62,1.64,0,43.95,0,0,6.19,205.08,10.64,1.26,22.47,0,10.91,0,2.25,0,0,19.98,8.66,0,1.1,0,0
