stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste
  3-4,507.56,7903.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.85,0,0,0,0,0
  5-6,732.08,5775.61,18.7,0,0,0,0,0,0,110.45,0,0,0,0,0,0,0,298.55,0,0,0,25.05,187.75,0,0,0,0,0
  7-9,319.69,29.39,321.17,0,0,6.99,0,0,0,1640.8,0,0,0,0,0,0,0,516.83,114.87,0,0,116.46,0,12.81,0,0,0,0
 10-12,3.8,0,195.45,0,0,31.85,0,0,0,279.37,0,0,0,0,0,0,0,684.07,69.58,0,0,19.87,0,0,0,0,0,0
 14-21,0,0,0.94,42.5,0,0,0,0,0,1.84,0,0,0,0,2.2,0,0,1.35,37.41,0,0,0,1.79,0,0,2.35,0.97,0
 24-34,0,0,0,11.47,0.91,0,0.62,0.69,1.26,2.51,0,0,0,0,0,0,0,2.48,22.47,6.97,0,0,2.03,0,0.91,1.9,0,0
 36-46,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,6.11,0,0,0,0.63,0
 48-58,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,0,3.73,0,0,3.26,0,0.44,0,0.9,0
 60-70,0,0,0,1.94,0,0,0,0,0,0,0,0,0,1.57,0,0,0,10.66,0,1.83,0,0,0,0,0,0,0,0
 72-82,0,0,0,5.47,0,1.17,0,0,0,0,0,0,0,2.36,1.47,4.15,0,0,0,0.58,0,0,0,0,0,0,0,5.77
 84-94,0,0,0,7.04,0,0,1.62,0,2.08,0,0,0,1.9,0.55,4.36,0,0,0,0,10.98,0,0,0,0,0,0,0,7.24
 96-106,0,0,0,1.63,0,0,1.4,0,0.66,0,0,0,0,3.87,0,0,0,0.89,0,5.78,5.7,0,0,0,0,0,0,15.1
108-118,0,0,0,5.94,0,0,1.16,2.99,0.82,0,0.87,0.65,2.52,0,1.89,0.43,0.42,1.58,0,7.91,0.72,0,0,0,0,0,0,20.57
120,0,0,0,9.82,0,0,0,0,0,0,0,0,0,5.44,16.33,0,0,0,3.31,7.65,0,0,0,0,0,0,0,12.84
