stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,13.85,0,0,2.52,0,0,0.97,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,52.48,0,1.08,3.04,0,1.41,0,0,0,0,1.8
 48-58,0,0,0,0,1.28,0,0,0.78,0,85.33,0,0.45,5.69,0,0,0,0.58,0,0,0
 60-70,0,0,0,0,2.69,0,0,1.17,0,150.74,0,0,1.54,0,0,0,0,2.88,0,0
 72-82,0,0,0,0,1.89,0.91,0,0,0,130.56,0,3.43,11.19,0,0,0,0,0,0,0
 84-94,0,0,0,1.28,7.68,0,1.1,0,0,216.92,0.62,1.12,10.17,0,0,0,0,0,0,0
 96-106,0,0.99,2.49,0.67,0,0,1.24,0,0,195.08,0.7,0,7.85,2.42,0,0.56,0,2.76,1.85,0
108-118,0,0,0,0,7.93,0,0,0,0,207.81,0.42,0.96,9.54,0,0,1,0.61,0,2.14,0
120,0,0,0,14.25,0,0,0,3.8,1.92,493.79,0,0,0,10.3,0,2.9,0,0,0,0
