stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste
  3-4,21.34,72.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0
  5-6,0,30.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,8.85,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,8.38,0,0,6.18,0,0,0
 14-21,0,0,0,3.28,0,0,0,0,0.86,0,0,0,0,1.28,1.97,0,0,0,0,0,0,0
 24-34,0,0,0.65,1.71,0,0,0,0,0,0,0,0,0.65,0,1.72,0,0,3.14,0,0,0.92,0
 36-46,0,0,0,0,3.64,0,0,0,0,0,0,0,0,1.52,3.74,0,0,9.44,0,0,0.57,0
 48-58,0,0,0,0,6.1,0,0,1.05,0,0,0,0,1.23,0,0,0,0,3.97,0,0,0,0
 60-70,0,0,0,4.24,3.99,0,0,0,0,0,0,0,7.87,0.69,1.18,0,0,11.25,0,0,0,0
 72-82,0,0,0,0,1.73,0,0,0,0,1.2,0,0,12.64,0,6.56,0,0.75,22,0,0,0,0
 84-94,0,0,0,0,3.84,0,0,0.73,0,0,0,0,7.12,0,0,0,0,36.9,0,0,0,0
 96-106,0,0,0,0.6,6.85,1.98,2.91,0,0,0,0.82,0,21.73,0,11.31,0,0,84.87,0,0,3.37,1.23
108-118,0,0,0,0.56,0,0,0,0.81,0,0,0,1.5,16.2,0.85,11.21,0,0,89.24,0,1.01,0,1.42
120,0,0,0,5.11,14.27,0,0,7.45,0,0,0,0,67.09,0,0,0,3.09,116.94,0,0,0,0
