stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.21,254.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.12,241.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.36,5.52,3.43,0,0,17.42,0,0,0,0,0,13.36,0,0,0,0,0,0,0,0,0,0,0,156.14,4.84,0,0,59.79,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.73,0,0,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.86,6.88,0,0,123.8,0,0,0,0,42.04,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,15.39,11,5.5,0,0,0,1.98,2.15,2.29,0,0,0,0,0,0,0.84,3.79,0,0,8.97,111.96,2.77,0,4.9,1.11,0,0,0,14.47,1.08,1.12,22.84,50.3,0,0,0,0,0
 24-34,0,0,0.64,7.47,5.13,13.09,0,1.77,0,5.87,0,0,0,0,0,0,0,3.92,0,13.6,1.09,0,7.39,278.25,1.43,1.07,1.26,1,0,6.63,0,0,0.84,0,9.34,43.68,0,0,5.58,0,1.55
 36-46,0,0,0,2.69,0,61.74,0,0,0,17.95,0,0,0,0,0.57,0,0,0.57,2.61,17.12,0.58,0.88,4.22,341.91,0,1.21,0.63,0,0,9.48,0,0,0,0,0,72.88,0,0,1.33,0,2.44
 48-58,0,0,0,9.59,0.69,119.55,0,0,0.44,24.52,0,0.48,1.55,0,0,0,0.8,0,0,35.69,0,0.4,3.78,348.19,2.91,3.52,3.63,0,0,3,0,0,0,0,0,69.66,0,0,7.79,0,3.54
 60-70,0,0,0,0,0,203.1,0,0,1.48,26.3,0.57,0,0,0,0,2.82,0,0,0.59,36.57,0.84,0,4.1,345.88,3.06,0,0.77,0,0.66,6.4,0,0,0,0,0,46.98,0.77,3.27,5.05,0,0
 72-82,0,0,0,2.81,10.85,145.03,0,0,1.65,33.03,0,0,1.79,0.53,0,0,0.6,0,0,55.08,0.95,3.62,1.97,205.24,0.57,7.14,0.76,0,0,1.78,0,0,0,0,0,30.01,0.5,3.82,15.17,4.62,0
 84-94,0,0,0,9.33,11.65,100.44,0.67,0.56,0,22.34,0.97,0,1.52,1.94,0,0.96,0,2.4,9.11,40.46,0,4.22,3.81,178.33,0.7,0,3.54,0,0.91,18.42,0,0,0,0,0,12.96,0.56,0,4.7,4.65,0
 96-106,0,0,0,6.28,0.76,109.14,0,1.52,0.66,17.18,0,0,1.24,0.66,0.83,0,1.3,6.61,0,32.53,4.41,0,1.71,144.64,0,2.43,0.59,0,0,22.05,0,0,0,0,0,3.05,0,0.76,0,2.37,0
108-118,0,0,0,4.87,7.63,58.81,0,1.29,0,13.3,3.33,0,0,1.72,0.91,0,0,0,0,38.87,0,0.83,2.08,127.25,0,3.25,0.43,0,0,6.4,0,0,0,0,0,2.81,0,1.56,6.65,2.81,0
120,0,0,0,8.95,4,54.35,1.75,0,0,45.47,1.73,0,0,6.49,0,3.86,2.12,0,0,37.99,0,13.18,1.53,238.9,0,0,16.98,0,0,6.43,0,0,0,0,0,0,0,0,0,0,0
