stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,20.66,154.54,31.8,1.15,0,0,0,58.01,24.1,0,0,0.87,0,0,0,2.1,59.22,0,0,88.88,515.47,23.75,0,0,75.1,0,13.12,196.18,1.46,1.82,126.25,764.45,0,0,3.03,0,0
 24-34,11.54,20.47,3.71,3.42,0,0,0.69,138.52,3.2,0,0,0,0,2.87,0.65,0,118.33,0,0,116.26,1339.02,3.43,0,0,0,0,4.76,2.33,11.62,2.37,20.77,1095.66,0,0,30.44,0,6.77
 36-46,0.56,16.75,1.22,5.84,0,2.04,2.57,65.5,0.66,0,0,0,0,1.17,0,1.99,117.85,0,1.77,39.48,1464.98,2.52,2.05,0,0,2.85,1.45,0,9.57,0,0,948.35,0,0,30.18,0,0
 48-58,0,10.02,0,55.21,0,1.73,3.85,83.17,0,1.03,0,0,0,0.85,0,0,125.07,0,5.25,52.25,1466.71,5.86,0.98,2.92,4.77,0.56,13.33,0,9.55,0,0,848.2,0,0.79,13.29,0,2.13
 60-70,0,13.76,0,45.95,0.83,13.12,4.72,64.56,7.53,0.93,4.6,0,0.85,0,0,0.73,172.15,0,8.6,27.13,871.05,0,0,0,0,0,4.97,0,1.35,0,0,377.69,0,2.32,5.89,1.54,0
 72-82,0,23.71,0,43.86,2.58,2.09,0,56.28,1.36,0,0,0,0.76,2.16,0,5.12,171.8,0,9.65,37.12,774.52,1.09,1.23,0,0,4.03,0.49,0,4.14,0,0,337.71,0,2.48,15.55,2.29,0
 84-94,0,2.22,11.35,28.65,1.48,0,2.14,34.99,0.6,6.75,0,0,0.7,1.03,0,8.17,103.06,0,6.49,4.15,332.52,3.28,0,0,0,7.18,4.34,0,2.09,0,0,166.43,1.53,2.35,10.63,0,6.26
 96-106,0,6.68,5.13,14.44,1.2,0,0,82.44,1.44,3.8,0,0,0.92,0,0,0,100.78,0.71,11.03,16.62,277.84,0,0,0.79,0,4.14,0,0,0,1.44,0,66.39,2.99,1.83,14.59,4.06,3.81
108-118,0,4.9,0,14.72,1.18,0.93,0,44.25,0.68,0,0,0,2.35,0,4.08,0.9,125.36,1.14,4.25,13.15,266.93,0,0,0,8.11,0,0,0,0,0,0,52.48,0.71,0,16.36,0,2
120,0,9.56,8.42,34.9,0,0,4.1,53.77,1.09,0,3.54,0,1.18,1.15,0,0,175.8,0,9.01,26.79,257.55,1.03,0,0,0,16.5,1.75,0,11.88,1.6,0,51.62,0,0,1.48,3.15,0
