stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,12.39,153.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,62.58,0,0,0,0,0,0,0,0,0,0,0,8.78,0
  7-9,0,8.91,0,0,3.32,0,0,5.61,0,0,56.84,0,28.33,0,0
 10-12,0,0,0,0,10.3,0,0,0,0,0,42.31,8.4,59,0,0
 14-21,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.28,0.92,0,0,0,0,6.04,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0.98,0
 48-58,0,0,0,0,1.44,0,0,0,4.63,0.62,13.98,0,0,2.34,0.88
 60-70,0,0,0,0,1.01,5.72,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.87,0,1.21,0,0,0,18.44,0,0,0,1.84
 96-106,0,0,0,0,3.65,0,0,0,0,0,5.23,0,0,0,0
108-118,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0
120,0,0,0,14.33,6.29,0,0,0,0,0,11.84,0,0,0,0
