stage,blastomeres,epidermis,eye,fin_epithelia,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,709.14,0,0,0,0,0,0,0,20.94,0,0
  5-6,352.87,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.32,0,0,0,86.07,37.56,0,0,0
 10-12,0,0,0,0,0,0,47.91,19.16,0,0,0
 14-21,0,0,0.99,0,0,0.91,0.91,0,0,0,0
 24-34,0,0.63,0,0,0,0,2.18,0,0.61,0,0
 36-46,0,0,0,0,0,0,2.22,0,0,0,0
 48-58,0,0,0.53,0,0.4,0,0,0,0,1.64,0
 60-70,0,0,0,1.61,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.66
120,0,0,0,0,4.28,0,6.54,0,0,0,0
