stage,erythrocytes,eye,mesenchyme,neural,xanthophores
 24-34,0,0,0,1,0
 36-46,0,0,0,2.36,1.02
 48-58,0,6.21,0,2.21,2.43
 60-70,0,1.01,1.26,0,0
 72-82,0,0,0.84,3.03,0
 84-94,1.38,0,0,0,0
