stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.45,0,85.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.45,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,100.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.5,0,0,0,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,2.06,0.81,0.81,0,12.2,0,0,0,10.32,2.21,0,0,0,0.97,0,0,6.54,0,7.36,0,0,19.02,110.61,6.36,0,2.73,0,0,1.31,0,2.88,0,2.08,31.24,50.77,0,0,4.71,0,4.47
 24-34,0,0.8,1.68,0,1.74,0,81.33,1.47,0,0,37.47,1.62,3.09,20.48,0,15.77,0,0.68,21.86,2.4,65.46,0,0.81,74.81,655.31,8.04,0,1.6,0,0,3.62,0,0,8.62,42,10.94,164.8,0,0,41.49,0,4.91
 36-46,0,0,0.56,6.01,5.08,0,166.77,12.9,0,0.67,195.36,6.84,0,14.99,0,15.5,16,0,7.11,7.37,97.15,1.68,3.83,57.83,1055.19,8.57,1.48,14.05,0,0,6.88,0,0,8.52,49.33,0,220.32,0,0,164,0,24.67
 48-58,1.29,0,0,32.31,0.57,0,409.25,22.06,4.93,3.08,598.98,6.74,0.93,10.62,1.5,10.97,23.01,0.74,8.87,18.3,278.52,0.69,9.22,50.64,1223.23,4.61,0,6.06,0,0.46,5.67,0,0,8.31,48.24,0,432.64,0,2.31,449.78,0,40.37
 60-70,0,1.51,2.79,17.86,0,0,494.31,13.32,1.49,4.37,730.3,7.59,0,20.35,6.59,4.33,22.33,0,12.19,3.02,463.96,0,11.24,47.05,590.74,0.93,1.23,8.51,0,10.76,4.09,0,0,13.22,32.86,0,189.84,0,17.64,442.82,0,21.34
 72-82,0,1.8,0,13.13,1.54,0,327.53,12.04,0,14.65,752.85,8.2,0,1.21,13.48,14.32,19.03,2.59,28.11,11.83,524.51,2.95,29.36,45.32,410.92,0.77,0,17,0,26.84,0,0,0,12.98,12.53,0,60.75,0,19.46,1085.51,5.44,24.67
 84-94,0,0,0,12.16,1.51,6.57,454.8,10.09,8.59,1.55,657.85,24.01,0.66,5.32,22.25,17.72,20.89,0,54.3,20.43,531.39,0,16.42,27.44,412.45,2.57,0,16.73,0,13.71,2.06,0,0,11.41,25.21,0,66.71,0,5.4,565.82,12.53,25.52
 96-106,0,7,0,15.16,35.28,1.36,453.52,6.23,1.94,4.02,578.61,24.31,0,9.23,32.11,21.48,27.77,3.59,68.84,11.07,458.07,4.61,3.92,22.28,446.38,1.37,0,5.9,0,9.65,7.48,0,0,14.22,24.33,0,20.12,5.5,3.31,807.22,8.26,22.68
108-118,0,0,0,5.53,2.51,16.8,428.71,8.63,6.75,7.17,662.1,35.12,0,6.68,21.79,12.93,34.55,1.15,132.58,16.48,339.08,13.91,11.22,17.87,418.4,1.07,1.9,7.19,0,15.29,8.51,0,0,11.92,20.8,0,40.34,0,1.3,539.8,2.22,19.6
120,0,3.9,0,15.84,18.42,9.61,424.69,18.91,18.2,1.67,1102.74,30.46,0,2.76,38.19,13.63,15.21,7.9,126.21,22.42,536.24,12.84,16.22,25.73,604.77,1.03,0,12.85,0,39.59,9.4,2.5,0,18.5,3.15,0,26.99,12.35,0,1038.37,0,11.55
