stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.92,79.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.13,120.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.28,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,0,0,0,52.99,0,0,0,47.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.06,0,0,0,15.83,0,0,9.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.33,0,1.19,0,3.22,0,1.95,0,0,0,0,6.71,0,0,0,0,3.73,0,0,89.14,2117.56,8.34,0,0,2.25,0,0,0,3.31,0,740.75,276.67,430.17,0,0,0,0,0.84
 24-34,0,0,22.21,0,34.14,3.42,0.83,3.97,7.59,0,0,0,0,0,2.91,0,0,7.46,606.25,0,0,513.58,6992.64,11.08,9.24,0,0,0,14.05,0,2.71,0,165.04,230.95,1056.57,0,0,0.94,0,0.78
 36-46,0,0,0.67,0,34.2,9.09,0,8.53,41.77,0,0,0.75,1.24,4.83,0,0,0,0,1681.09,0,1.26,82.34,9179.04,0,0,3.78,0,0,12.84,0,6.93,10.34,54.36,3.64,2094.34,0,0,5.85,0,0
 48-58,0,9.05,28.29,1.31,276.7,5.79,0.49,15.85,188.74,0,0,3.47,1.61,0,0.62,0.44,0,0,1761.26,0.41,3.65,78.13,9093.07,9.48,1.77,3.27,0,0,6.92,0,0,0,47.62,0,2462.16,0,0,4.78,0,12.22
 60-70,0,0,2.5,2.38,130.11,3.16,13.7,16.75,168.28,0,0,0,0.7,0,0,0,1.92,0,1428.11,0.85,0,49.52,5446.83,1.31,0,0.78,0,4.81,2.84,0,0,0,6.49,0,1111.78,0,0,0,0,0
 72-82,0,0,13.53,6.12,339.34,10.17,0,0,183.37,2.63,0,3.17,0,0,0,1.37,0,0,1367.16,0,3.13,111.04,4112.34,0,0,0,0,3.76,0.56,0,0,3.24,1.69,0,384.23,2.43,2.46,2.56,2.31,22.38
 84-94,0,0,19.21,3.8,264.72,11.43,2.26,0,117.14,3.88,0,2.44,4.96,0,4.68,0,4.81,0,1685.59,2.15,1.29,164.75,2798.59,0,0,0.89,0,0,3.83,0,0,0,9.22,0,400.21,0,1.63,0,0,0
 96-106,0,0,26.05,9.35,237.66,23.52,1.26,2.85,254.41,2.66,0,9.13,2.04,0.86,0.79,4.03,11.09,0,1240.25,0,0,95.29,2268.13,0,0.68,0,0,0,6.07,0,0,0,1.82,0,128.2,0,0,3.34,0,3.88
108-118,0,0,32.68,3.49,87.11,15.72,1.53,0,211.45,0.59,0,0,3.64,0,0,0,6.32,0,1169.92,3.66,1.96,168.73,3290.34,0,0,4.23,0,0,2.69,0,0,0,3.38,0,125.55,0,5.42,6.48,1.51,0
120,0,0,19.19,0,204.83,5.91,0,5.31,252.61,0,0,10.14,0,0,0,0,2.58,0,951.26,0,0,203.3,4155.99,3.33,0,0,0,0,5.89,0,0,0,0,0,11.17,0,7.67,3.73,0,0
