stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,45.16,1119.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.78,0,0,0,0,0,0,0
  5-6,538.73,9882.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.47,0,0,0,22.13,254.06,0,0,0,0,0,0,0
  7-9,91.85,122.03,0,147.01,0,0,275.72,0,0,0,0,67.61,0,0,0,0,0,0,0,0,0,0,2842.39,68.11,0,0,860.04,74.36,21.98,0,0,0,0,0,0
 10-12,0,4.74,0,3.73,0,0,15.34,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,282.26,3.08,0,0,57.67,5.07,5.62,7.47,0,0,0,0,0
 14-21,0,0,0,0,1.81,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0.86,0,0,0,0.92,0,0,0,0,36.93,0,0,0,2.36,0,0,0
 24-34,0,0,0,0,10.17,0,0.95,2.68,0,0,0,0,0,39.24,0,3.86,0,5.23,0.69,7.57,0,0,74.96,0,6.94,0,0,807.34,0,0,6.9,2.87,0,2.56,0
 36-46,0,0,0,0,20.99,0,5.08,6.34,0,0.76,0.59,0.72,0,94.7,0,2.2,4.79,0,4.66,37.94,0,0.82,479.99,0,16.65,0,0,1563.6,0,0,7.75,8.34,0,0.92,0
 48-58,0,0,0,0,52.87,0,10.71,29.54,0,5.3,0,44.59,0,11.3,0,0.5,0,7.99,4.85,21.45,0,1.2,279.37,1,16.45,3.57,0,2375.03,0,0,0,13.86,0,0,0.54
 60-70,0,0,1.1,0,60.64,0,16.38,8.25,0,0,15.01,13.09,0.57,2.95,0,1.87,0,0,4.53,17.89,0,3.01,75.47,0,4.28,0,0,748.68,0,0,0,8.22,8.76,0,0
 72-82,0,0,2.73,0,38.65,1.43,21.54,28.45,0.75,0,4.89,19.61,0,44.15,0,4.16,3.49,0,3.58,18.66,0,0.8,197.75,0,27.06,0.83,0,1329.85,0,0,0,0,4.22,4.67,0
 84-94,0,0,0,0,19.88,0,1.82,3.86,0,0,2.25,2.16,0,12.74,0,0,0,0,0,9.87,1.17,0,44.3,0,0.76,0,0,221.34,0,0,0,0,4.62,0,5.98
 96-106,0,0,0,0,184.72,4.92,25.91,45.06,0,1.19,72.39,4.24,0,107.17,0,42.39,10.36,0,4.46,43.57,0,1.08,124.33,0,46.74,0,0,2644.37,0,0,0,0,39.03,6.54,3.6
108-118,0,0,2.93,0,150.04,2.3,14.35,28.86,0,0.62,43.37,0,6.94,185.4,0,7.62,0,0,10.2,44.94,0,0,54.26,0,52.9,11.33,0,665.29,0,0,0,0,23.31,0,0
120,0,0,0,0,322.78,0,32.2,71.85,0,0,84.83,0,13.4,34.75,5.74,17.2,0,0,23.11,17.78,0,0,215.64,0,59.74,0,0,1647.33,0,0,0,0,79.06,0,0
