stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0
  5-6,86.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.4,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,41.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.72,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,4.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,4.42,0,3.07,7.89,0,0,0,0
 24-34,0,2.65,0.76,1.6,0.96,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,207.15,0,0,0,0,2.33,6.5,0,0,19.85,0,0,0,0
 36-46,0,4.29,0,5.15,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,545.73,0,0,0,0,0,0,0,0,21.64,0,0,0,0
 48-58,0,6.6,0,56.18,0,1.4,0.57,3.89,0,0,0.45,0,0,0,0,0,10.38,0,0,1044.08,0,0,0,0,0,8.42,0,0,48.73,0,2.26,0,0.63
 60-70,0,2.76,0,175.73,0,3.43,1.16,11.32,0,0,3.8,0,0,0,0,1.06,16.79,0,1.46,2074.92,0,1.43,0,6.98,0,0,0,0,157.85,0.59,0,0,6.52
 72-82,0,7.99,5.92,293.48,0,0,2.95,33.01,0,0,1.95,0,0,0,0.99,0,41.87,0,4.24,2193.04,0,1.33,0,0,8.09,0,0,0,107.44,0,7.83,0,3.38
 84-94,0,11.85,5.76,261.27,0,0,2.41,21.3,0,0,3.79,0,1.25,9.96,0,0,56.43,0,6.22,1610.92,3.66,0.67,0,0,0,0,7.9,0,119.08,4.91,19.13,0,0
 96-106,0,25.07,4.88,302.07,0,0.59,2.88,23.29,1.38,0,1.74,0.95,0,0,0.75,0,41.22,1.64,2.13,1526.14,0,2.34,0,0,4.92,0,0,0,39.46,0,0.6,0.64,0
108-118,0,24.89,0.59,219.32,2.14,0.48,10.43,15.33,0,0,3,0.66,0.72,2.16,0,0.73,49.56,0,2.18,1545.88,0.45,9.86,0,0,4.26,0,0,0,6.11,0,3.03,1.05,1.42
120,0,29.15,0,441.55,1.61,0,30.43,77.38,0,0,0,0,0,0,0,0,112.59,0,5.2,4075.25,3.27,1.31,0,0,2.15,0,2.35,0,60.05,0,16.16,3.36,0
