stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,1.03,10.21,2.74,2.61,0,0,1.89,0.91,0,0,0,0,0,0,0,8.7,0,0,4.75,72.02,0.87,0,0.93,2.35,0,0,7.07,1.37,0,10.48,16.25,0,0,0.9,0,0
 24-34,0.66,0,4.48,0.69,17.57,0,1.45,10.57,0,0,0,0,1.17,0,0,0,14.73,0,0,12.75,182.28,0.61,0.69,0.73,0,0,2.49,0,0,0,3.56,49.3,0,0,6.8,0,0
 36-46,0.73,0,0.61,0.72,21.33,0,2.79,16.8,0,0,0,0.77,0,0,0.57,0,10.11,0.95,0,11.44,248.97,1.47,0.91,0,0,0,0.83,0,0,4.29,0.69,74.8,0,0,5.33,0,0
 48-58,0,0,2.52,1.19,52.77,2.71,1.18,6.87,0,2.24,0,0,0,1.01,0,0,14.9,0,1.02,0.79,169.66,0,1.31,1.57,0,0,0.39,0,0,0,0,47.82,0,0,0.41,0,0
 60-70,0,0,0,0,102.83,3.43,0.84,12.5,0,0,0,0,0,0,0,0,18.64,0,0,0.9,181.06,0,2.74,1.81,0,0,0,0,0,0,0,17.12,0,0,0.6,0,0
 72-82,0,0,2.62,0,73.57,2.77,2.02,15.34,0,0.89,0.66,0,0,2.56,0,0,24.29,0,0,0.71,123.62,0,5.69,0,0,0,0,0,0.53,0.53,0,14.17,0,0.49,1.87,5.1,0
 84-94,0,0,5.66,11.66,65.03,3.15,0,14.79,0,0,0,0,0,0,0,0,28.92,0,0.55,0.7,130.74,0,0,1.19,0,0,3.33,0,0.97,0,0,13.65,1.53,2.41,0.92,0,0
 96-106,0,0,3.11,13.76,46.38,0,0,10.03,0,0,0,0,0,0.58,0,0,16.57,0,4.05,0,66.4,0,1.82,1.03,0,0,0.83,0,0,0,0,2.01,0,0.57,1.36,1,1.21
108-118,0,0,2.26,12.38,50.59,0,1.95,11.77,0,0,0.82,0,0,0,0,1.61,21.36,0,1.86,0.56,122.98,0.81,0,2.31,0,1.83,1.72,0,0,0,0,7.92,0,0,5.39,0,1.8
120,0,0,4.57,0,70.29,0,0,13.21,0,0,1.23,0,0,0,0,0,3.03,0,13.18,0,258.99,0,2.15,3.91,0,0,5.14,0,0,0,0,15.07,0,0,0,0,0
