stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,54.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.99,41.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.86,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.73,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.34,0,0,15.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.18,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.32,0,0,0,0,0,3.35,1165.85,2.11,1.01,0,0,0,0,0
 24-34,0,0,0.6,0,5.3,0,0,16.02,1.68,0,4.83,0,0,0,0,5.54,0.8,4.93,0,1.24,73.77,2.77,0.62,0,3.39,0,0,2465.05,0.62,12.54,0,0,9.24,0,0
 36-46,0,0,0,0,0.59,0,0,4.57,0,0,0,0,0,0,0,0,2.15,0.81,0,0,22.39,1.52,0,0,3.28,0,0,578.29,0,5.1,0,0,38.1,0,3.57
 48-58,0,0,0,0,0,0,0,6.8,0,0.57,5.93,0,0,0,0,0,14.87,1.66,0,0,32.06,0,0,0,0,0,0,207.76,0,4.01,0,0,143,0,33.6
 60-70,0,0,0,0,0,0,0,45.41,0,0,63.88,0,0,0,0,0,0,0,0,0.57,7.88,0,0,0,0,0,0,174.01,0,20.51,0,0,216.24,0,0.69
 72-82,0,0,0,0,2.14,2,0,172.29,0,0,312.04,0,0,0,0,0,2.56,0.61,0,0,28.92,0,0,0,4.2,1.65,0,11.6,0,3.42,0,4.78,465.13,0,3.68
 84-94,0,0,0,0,6.94,0,0,503.5,0,0,425.8,1.44,0.94,1.86,0,0,0,10.63,1.77,2.3,32.2,0,0,0,3.16,0,0,39.67,0,10.45,0,0,156.26,0.56,21.89
 96-106,0,0,0,0,9.94,5.84,1,1162.38,0,0,596.72,0,0,0,0,4.24,0,14.09,0,1.94,63.03,0,1.66,0,4.57,0,0,4.77,0,0,2.93,0,306.29,0,6.36
108-118,0,0,0,0,2.53,2.4,4.17,1719.2,0,0,478.03,0.41,0,2.46,2.26,2.62,1.74,12.81,0,1.93,54.63,0,0.52,0,5.24,0,0,2.01,0,4.56,0,0,269.92,1.97,15.16
120,0,0,0,0,4.32,2.37,0,1565.27,0,3.19,630.11,3,0,0,0,0,0,19.83,0,7.36,87.36,0,0,0,1.13,0,0,0,0,2.54,0,0,286.68,0,13.4
