stage,blastomeres,eye,mesenchyme,neural,paraxial.mesoderm
  3-4,20.77,0,0,0,0
  5-6,10.41,0,0,0,0
  7-9,0,0,0,3.47,3.67
 60-70,0,0.76,0,0.92,0
 72-82,0,0,1.83,0,0
