stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,xanthophores
  3-4,196.37,2411.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.92,0,0,0,0,0,0
  5-6,180.91,2010.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.92,0,0,0,6.9,19.92,0,0,0,0,0,0
  7-9,29.99,39.26,45.23,0,120.47,0,0,0,0,48.24,0,0,0,0,0,0,941.13,16.39,0,0,479.18,0,11.62,0,0,0,0,0
 10-12,0,7.78,16.17,0,39.53,0,0,0,0,8.01,0,0,0,0,0,0,340.15,9.53,0,0,130.96,0,3.78,0,0,0,0,0
 14-21,0,0,1.07,8.86,3.91,0,0,1.02,0,0,0.97,0,0,0,3.74,0,32.68,0,0,0,0,0,1.1,4.38,7.26,5.33,0,0
 24-34,0,0,0,0.65,1.82,0,0,0.62,0,0,0,0,1.68,0,1.5,0,15.54,0,0.97,0,0,0,0,0,1.31,5.31,0,0
 36-46,0,0,0,0,5.79,0,0,0,0,0,0,0,0,0,1.84,0,14.4,0,0,0,0,2.03,0,0,0,2.46,0,0
 48-58,0,0,0,0,9.68,0,0.46,0.88,0,0,0,0,0,0,3.75,2.93,8.46,0,0,0,0,0,0,0,0,3.56,0,0
 60-70,0,0,0,0,5.48,2.09,0.86,1.56,0.63,0,0,0,0,4.76,6.16,0,4.12,0,0,0,0,0,0,0,0,0,0,3.87
 72-82,0,0,0,0,8.03,0,0,2.06,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,3.56,0,0
 84-94,0,0,0,0,2.02,0,0,1.02,0,0,0,0,0,0,2.17,1.45,13.99,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.88,7.76,0,0,1.89,0,0,0,0,0,0,4.04,0,1.82,0,0,0,0,0,0,0,0,2.25,0,0
108-118,0,0,0,0.52,1.78,0,0,0,1.86,0,0,0.43,0.52,0,0,1.32,11.52,0,0,0.67,0,0.55,0,0,0,0,0.67,0
120,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,12.21,0,0,0,0,0,0,0,0,0,0,0
