stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.48,1157.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707.23,0,0,0,0,0,0,0,0,0,0
  5-6,14.3,386.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.81,0,0,0,0,324.96,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,78.91,5.44,0,0,41.81,23.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.55,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.4,0,0,0,29.65,30.56,3.78,4.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,101.42,0,0,1.17,0,4.28,0,0,1,0,0,0,0,0,0,0,0,0,0,2.37,0,2.02,6.85,0,46.71,2.11,0,0.88,10.01,1.66,0,0,0,0,0
 24-34,0,0,0,3.07,72.31,0.68,0,0,0,10.1,0,0.81,0.68,0,0,0,9.01,1.27,2.94,0,2.1,2.24,0,30.47,0,3.63,17.19,0,127.63,0,0,4.59,0,0,0,0,4.11,0,0
 36-46,0,0,0,0,27.32,0.67,0,0.59,0,3.16,0,0,1.31,6.77,0,0,3.05,3.04,0,0,0,10.73,0,46.82,0,1.34,6.7,0,103.73,0,0,0,0,2.09,0,0,0,0,0
 48-58,0,0,0,0.5,41.61,0,0,12.59,0,7.17,0.65,0,0,0.48,0,0,3.04,4.27,1.91,0,1.24,2.09,0,54.73,0,5.3,4.25,0,113.1,0,0,0,0,2.12,0,0,0,0,0
 60-70,0,0,0,2.79,33.39,0,0,5.17,0,14.95,0.63,1.51,1.67,0,0,0,1.4,2.79,0,0,0,3.12,0,47.95,0,0,12.62,0,138.58,0,0,0.68,0,2.56,0.84,0,0,0,0
 72-82,0,0,0.68,0.56,53.99,1.54,0,10.05,0,17.34,0,0,13.17,0,0,0,2.91,8.27,1.08,0,5.64,3.68,0.51,25.69,0,0.5,7.52,0,122.18,0,0,0,0,0,1.74,0,0,0,0
 84-94,0,0,0,0,72.44,5.68,0.58,12.24,0,27.11,0,6.33,20.47,0,0,0,13.46,5.35,0,6.67,4.1,12.2,0,31.56,0,8.96,10.98,0,301.87,0,0,1.16,0,0,5.93,0,0,0,0
 96-106,0,0,2.72,0,107.65,18.88,0,5.26,2.02,19.04,0,0,16.34,1.06,0.99,0,13.96,11.5,10.08,0,11.91,13.29,4.01,64.5,0.58,13.94,17.21,0,331.25,0,0,1.38,0,0,7.56,0,7.7,0,0
108-118,0,0,0,0,145.55,0,1.85,13.81,0.46,42.7,0,3.26,14.36,0,0,2.21,27.94,6.34,1.74,0,2.71,11.21,0,33.62,0,9.48,11.85,0,275.2,0,0,0.42,0,0,10.16,1.8,0,1.15,5.63
120,0,0,0,0,130.37,0,0,2.59,0,29.98,0,0,16.67,0,0,1.43,17.09,2.53,7.59,0,10.08,11.57,1.42,51.08,0,1.85,36.89,0,175.28,0,0,12.57,0,0,4.74,0,0,0,0
