stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.43,0,0,0,0,0,0,0
 14-21,0.98,2.6,0,0,0,0,1.13,0,0,0,0,0,0,0,0,1.79,0,0.82,0,0
 24-34,0,1.94,0,0.77,1.33,0,0,0,0,9.03,0,1.58,19.94,0,0,0,0,3.51,4.24,0
 36-46,0,2.16,0.76,0,0,0,0.83,0,0,7.04,0,2.22,3.32,0,0,7.68,0,1.18,0.67,0
 48-58,0,2.37,0,3.49,0,1.6,0,0,0,5.12,0,3.21,11.44,0,1.53,0,0,0,2.13,0
 60-70,0,0,0,0,0,0,2.3,1.45,0,4.85,0.86,0,1.95,0,0,0,0.68,0,0,0
 72-82,0,0,0,0,0,0,1.62,0.67,0.83,7.42,0,0,1.89,0.99,0,0,0,0,0,0.53
 84-94,0,2.19,0,0,0,0,3.6,10.44,2.33,3,0,0,0.85,0,0,0,0,1.93,1.19,6.61
 96-106,0,0,0,0,0.73,0,4.98,5.29,0,4.9,1.81,1.75,0,0,0,0,0,0,0,0.79
108-118,0,0,0,0,0.74,0,3.25,18.66,1.68,1.75,5.02,0,7.65,0,0,1.86,0,0,0,0
120,0,17.49,0,0,0,0,9.05,93.57,0,9.56,0,0,21.37,0,0,0,2.61,0,0,0
