stage,blastomeres,eye,fast.muscle,glial,heart,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,slow.muscle,spinal.cord,vasculature
  5-6,47.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,10.64,0,0,9.98,0,0,0
 14-21,0,0,0,0,0,0.93,0,3.81,1.78,0,0,0,0,0.85,0
 24-34,0,1.04,0,0,0,1.59,0,0,2.64,1.14,0,0,1.1,1.17,0
 36-46,0,0,0,0,0,3.4,1.66,1.67,0.91,0.73,0,0,2.81,0.63,0
 48-58,0,0.86,1.33,0.69,0.88,1.42,0,4.47,1.67,0,0,0,1.01,0,0.52
 60-70,0,0,0,0,0,1.97,0.6,1.69,0,0,0,0,0,0,1.51
 72-82,0,0,0,3.95,0,0.92,0,0,0,0,0,0,1.81,0,0
 84-94,0,0,0,2.8,0,0,1.8,0,8.39,0,0,0,0,0,0
 96-106,0,0,0,7.56,0,0,0,7.41,0,0,0.95,0,0,0,0
108-118,0,0,0,4.37,0,3.13,0,1.48,0,0.69,0.79,0,0,0,0.53
