stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,3.42,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.01,0,0,0,0,0,0,0,0,33.06,0,77.28,18.35,6.91,0,0,0,0,1.44,23.27,0,0,0,0
 24-34,0,1.42,0,1.62,0,0,3.51,1.51,0,0,0.66,120.1,0,185.76,7.64,0,0,0,2.97,0,1.05,15.53,0,0,0,0
 36-46,0,0,0,0,0,1,0,0,0,0,0,120.64,2.81,82.21,18.85,0,0,0,0,0.79,0,7.47,0,1.04,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,91.92,0.95,25.94,9.08,0,0,0,0,0,0,3.76,0,0,0,0
 60-70,0,0,0,0,0,0,1.37,1.09,0,0,0,15.1,0,8.94,1.16,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.67,1.33,4.83,0,0,0.83,0,0,4.29,2.23,5.81,0.51,0,0,0,0,0,0,0,1.05,0,0.65,0
 84-94,0,3.85,0,2.28,0,2.35,0,0,2.58,0,0,1.31,0,0.82,0,0,0,0,0,0,0,0,4.55,0,0,0
 96-106,0,0,0,0,0,3.12,0,0,7.61,1.9,0,7.09,0,2.24,2.32,0,0,0,0,0,0,0,1.06,0,0,0
108-118,0,1.39,0,2.15,6.92,2.14,0,0,6.18,0,0,14.49,0,0.56,0,0,0,0,0,0,0,0,3.04,0,1.21,0
120,0,3.64,0,0,8.57,0,0,7.96,19.47,0,0,1.21,4.15,3.59,0,0,0,12.2,0,0,0,0,0,0,0,10.94
