stage,epidermis,eye,fin_epithelia,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,pericytes,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,6.61,3.96,0,0,0,0
 10-12,0,12.33,0,0,0,0,9.97,0,0,0,0,0
 14-21,1.92,0,0,0,0,0,0,0,0,2.18,0,0
 24-34,0,0,0,3.21,0,0,0,0,0,0,0.85,0
 36-46,0,0,0,15.11,0,0,0,0,0,0,0,0
 48-58,0,7.42,0,24.29,0,0,0.84,0,0,0,0,0
 60-70,0,0,0,56.52,0,0,3.28,0,0,0,0,0
 72-82,0,0,0,11.99,0,1.48,0,0,0,0,0,0.86
 84-94,0,0,0.68,38.41,1.86,0,2.66,0,0,0,0,0
 96-106,0,0,4.61,17.22,0.71,4.47,0,0,0,0,1.14,0
108-118,0,0,1.77,36.58,0,0,0,0,0.86,0,0,0
120,1.83,3.1,0,33.98,0,3.19,0,0,0,0,0,0
